name	term	lev	seq	value
"DNA binding"	GO:0003677	2	Sym_136909_c0_g1	-30.0300570307398
"DNA binding"	GO:0003677	2	Sym_102539_c1_g5	1.54538178969012
"DNA binding"	GO:0003677	2	Sym_152309_c0_g2	-8.17769129630268
"nucleoside-triphosphatase activity"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	6	Sym_101851_c0_g1	-10.091883938072
"nucleoside-triphosphatase activity"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	6	Sym_113215_c4_g5	0.982735665340704
"nucleoside-triphosphatase activity"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	6	Sym_136948_c0_g1	0.634800851378193
"nucleoside-triphosphatase activity"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	6	Sym_100230_c0_g1	10.9742358658258
"nucleoside-triphosphatase activity"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	6	Sym_136070_c2_g1	0.0860295552373349
"nucleoside-triphosphatase activity"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	6	Sym_120913_c7_g2	-1.60887445975445
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0045182	2	Sym_113764_c0_g1	11.6235593485947
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0045182	2	Sym_136948_c0_g1	0.634800851378193
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0045182	2	Sym_111423_c4_g1	1.14702593099352
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0045182	2	Sym_121495_c10_g2	2.9988455062437
"translation regulator activity, nucleic acid binding"	GO:0090079;GO:0045182	2	Sym_84654_c0_g1	-1.9968968671406
"peptidase activity"	GO:0008233	3	Sym_93418_c0_g1	0.845092272156403
"peptidase activity"	GO:0008233	3	Sym_101592_c0_g2	-60.8102967060435
"peptidase activity"	GO:0008233	3	Sym_107783_c2_g1	1.69390393099432
"peptidase activity"	GO:0008233	3	Sym_101592_c0_g3	5.94164444411934
"peptidase activity"	GO:0008233	3	Sym_101138_c0_g1	2.32758176150982
"peptidase activity"	GO:0008233	3	Sym_244110_c0_g1	-14.9166905040006
"peptidase activity"	GO:0008233	3	Sym_107369_c2_g3	-4.88485167487327
"RNA binding"	GO:0003723	2	Sym_105077_c3_g2	0.16672037239358
"RNA binding"	GO:0003723	2	Sym_113764_c0_g1	11.6235593485947
"RNA binding"	GO:0003723	2	Sym_136948_c0_g1	0.634800851378193
"RNA binding"	GO:0003723	2	Sym_111423_c4_g1	1.14702593099352
"RNA binding"	GO:0003723	2	Sym_121495_c10_g2	2.9988455062437
"RNA binding"	GO:0003723	2	Sym_92614_c0_g2	1.2852974434725
"RNA binding"	GO:0003723	2	Sym_104762_c1_g5	-4.9838319181547
"RNA binding"	GO:0003723	2	Sym_101501_c0_g1	6.45889952202724
"RNA binding"	GO:0003723	2	Sym_84654_c0_g1	-1.9968968671406
