Sym_208279_c0_g1	GO:0016021;GO:0005887;GO:0005886;GO:0005891;GO:0008332;GO:0046872;GO:0097110;GO:0005244;GO:0032342;GO:0070509;GO:0032870;GO:0035865;GO:0034651;GO:0098662;GO:0086010;GO:0006936;GO:0007517;GO:0007520;GO:0019228;GO:2000344;GO:0045956;GO:0008016;GO:0034765;GO:0042391
Sym_73874_c0_g1	GO:0005783;GO:0005788;GO:0003756;GO:0045454
Sym_58918_c0_g1	GO:0005737;GO:0031514;GO:0005634
Sym_247994_c0_g1	GO:0030126;GO:0000139;GO:0005198;GO:0043130;GO:0006888;GO:0006891;GO:0006886;GO:0006890
Sym_78034_c0_g1	GO:0031410;GO:0005829;GO:0004842
Sym_174987_c0_g1	GO:0005783;GO:0030176;GO:0102336;GO:0102337;GO:0102338;GO:0009922;GO:0102756;GO:0034625;GO:0034626;GO:0019367;GO:0035338;GO:0030148;GO:0006636;GO:0042761
Sym_54646_c0_g1	GO:0005826;GO:0005737;GO:0005524;GO:0016905;GO:0045159;GO:0004674;GO:0000281;GO:0031037;GO:0018107;GO:0046777;GO:1903013
Sym_61315_c0_g1	GO:0009507;GO:0005739
Sym_46903_c0_g1	
Sym_177725_c0_g1	GO:0005737;GO:0008115;GO:0046653
Sym_110647_c4_g7	GO:0005829;GO:0003872;GO:0005524;GO:0047334;GO:0046872;GO:0009793;GO:0006002;GO:0015979;GO:0009749
Sym_58472_c0_g1	GO:0005730;GO:0005634;GO:0005524;GO:0034459;GO:0003723;GO:0000462
Sym_64727_c0_g1	GO:0071949;GO:0016491
Sym_117355_c0_g1	GO:0009897;GO:0016021;GO:0005886;GO:0005524;GO:0042626;GO:0015245;GO:0042803;GO:0010588;GO:0080051;GO:0015908;GO:0009737;GO:0009651;GO:0009611;GO:0010222;GO:0055085
Sym_57120_c0_g1	GO:0030424;GO:0030425;GO:0098855;GO:0005887;GO:0005886;GO:0030552;GO:0042802;GO:0005222;GO:0005267;GO:0022843;GO:0005249;GO:0005248;GO:0045176;GO:0071320;GO:0071805;GO:0051289;GO:0034765;GO:0042391;GO:0046549;GO:0035725
Sym_250511_c0_g1	GO:0008168
Sym_77036_c0_g1	GO:0005912;GO:0045180;GO:0005911;GO:0005813;GO:0005737;GO:0045294;GO:0007155;GO:0048870;GO:0034613;GO:0051642;GO:0031154;GO:0003382;GO:0061245;GO:0051645;GO:0007275;GO:0051495;GO:0009306;GO:0010468;GO:0044671;GO:0031150;GO:0036360
Sym_161018_c0_g1	GO:0016021;GO:0005886;GO:0005773;GO:0005375;GO:0006878
Sym_33227_c0_g1	GO:0005737;GO:0005856;GO:0005829;GO:0046872;GO:0004842;GO:0007369;GO:0030178;GO:0006511
Sym_156396_c0_g1	GO:0030170;GO:0004834
Sym_172762_c0_g1	GO:0016758;GO:0017000;GO:0005975;GO:0030259
Sym_138442_c2_g4	GO:0005737;GO:0005730;GO:0000956;GO:0000027;GO:0006364
Sym_275914_c0_g1	GO:0030424;GO:0044305;GO:0098978;GO:0016021;GO:0005887;GO:0099055;GO:0099056;GO:0045121;GO:0005886;GO:0008076;GO:0005251;GO:0015271;GO:0005249;GO:0097623;GO:0071805;GO:0051260;GO:0034765
Sym_127553_c0_g1	GO:0008076;GO:0060072;GO:0046872;GO:0005249;GO:0034765
Sym_174245_c0_g1	GO:0042644;GO:0042646;GO:0003723;GO:1901259;GO:0006952
Sym_86643_c0_g1	GO:0005737;GO:0000166;GO:0016491;GO:0001516
Sym_103069_c0_g1	GO:0005634;GO:0003729;GO:0004864
Sym_271621_c0_g1	GO:0015935;GO:0019843;GO:0003735;GO:0006412
Sym_83146_c0_g2	GO:0016874;GO:0008168;GO:0016491;GO:0031177
Sym_75134_c0_g1	GO:0005737;GO:0005524;GO:0004818;GO:0000049;GO:0008270;GO:0006424
Sym_39112_c0_g1	GO:0004558;GO:0030246;GO:0032450
Sym_17492_c0_g1	GO:0005737;GO:0051321;GO:0030435
Sym_94454_c0_g1	GO:0009535;GO:0016021;GO:0030076;GO:0009523;GO:0016168;GO:0009765;GO:0018298
Sym_52166_c0_g1	GO:0005737;GO:0005844;GO:0046872;GO:1990715;GO:1905538;GO:0048667;GO:2000766;GO:0001764
Sym_55345_c0_g1	GO:0005737;GO:0005730;GO:0016428;GO:0000049
Sym_274488_c0_g1	GO:0005829;GO:0005739;GO:0003985;GO:0003988;GO:0046872;GO:0006696;GO:0006635
Sym_124345_c3_g6	GO:0016021;GO:0005886;GO:0005262;GO:0008066;GO:0004970;GO:0006816;GO:0019722;GO:0007267;GO:0071230;GO:0009864;GO:0009611
Sym_280746_c0_g1	GO:0009507;GO:0005739;GO:0009295;GO:0009508;GO:0042793;GO:0045893
Sym_208515_c0_g1	GO:0030424;GO:0044299;GO:0098978;GO:0099056;GO:0005886;GO:0001518;GO:0005244;GO:0005248;GO:0086010;GO:0019228;GO:0034765;GO:0051930;GO:0035725;GO:0006814
Sym_120384_c1_g1	GO:0016021;GO:0005524;GO:0042626;GO:0008281;GO:0006813
Sym_14945_c0_g1	GO:0005737;GO:0005869;GO:0007018
Sym_275932_c0_g1	GO:0005618;GO:0005576;GO:0005886;GO:0045254;GO:0000287;GO:0004739;GO:0006096;GO:0055114
Sym_159816_c0_g1	GO:0005776;GO:0030136;GO:0031410;GO:0005769;GO:0031902;GO:0005765;GO:0005764;GO:0044877;GO:0015031;GO:0035751;GO:0006904
Sym_114490_c1_g1	GO:0005525
Sym_240224_c0_g1	GO:0005829;GO:0005525
Sym_146119_c2_g1	GO:0016021;GO:0005886;GO:0055075
Sym_35494_c0_g1	
Sym_73995_c0_g1	GO:0016021;GO:0005886;GO:0006811
Sym_44702_c0_g1	GO:0005829;GO:0016021;GO:0005770;GO:0032991;GO:0030165;GO:0019901;GO:0019887;GO:1990090;GO:0038180;GO:0010976
Sym_58774_c0_g1	GO:0005524;GO:0004674
Sym_111251_c6_g2	GO:0009341;GO:0004565;GO:0030246;GO:0005990
Sym_176248_c0_g1	GO:0005829;GO:0022627;GO:0005634;GO:0051087;GO:0003677;GO:0051787;GO:0051082;GO:0007049;GO:0051085;GO:0070843;GO:0071630;GO:0006457;GO:0006413;GO:0035719
Sym_117008_c9_g1	GO:0005524;GO:0005509;GO:0004674
Sym_108352_c0_g1	GO:0030659;GO:0005829;GO:0005769;GO:0005770;GO:0005764;GO:0042470;GO:0043005;GO:0005886;GO:0030133;GO:0097422;GO:0005096;GO:0005085;GO:0017137;GO:0000149;GO:0045022;GO:0035646;GO:0035544;GO:0048812;GO:0050775;GO:0010976;GO:0015031;GO:1990126
Sym_159693_c0_g1	GO:0030134;GO:0005829;GO:0005793;GO:0005794;GO:0016020;GO:0005815;GO:0046872;GO:0004620;GO:0004806;GO:0006888;GO:0034389;GO:0007626;GO:0043170;GO:0090141;GO:0019433;GO:0008542
Sym_57551_c0_g1	GO:0005737;GO:0030286;GO:0005874;GO:0031514;GO:0005524;GO:0003777;GO:0030030;GO:0007018
Sym_111886_c4_g1	
Sym_84384_c0_g1	GO:0005634;GO:0046872;GO:0003950
Sym_172281_c0_g1	
Sym_210990_c0_g1	GO:0005737;GO:0016607;GO:0005634;GO:0003723;GO:0045292;GO:0000398;GO:0007275;GO:0000381
Sym_58454_c0_g1	
Sym_44192_c0_g1	GO:0005524;GO:0005509;GO:0004674
Sym_177318_c0_g1	GO:0005737;GO:0005829;GO:0008253;GO:0000287;GO:0000166;GO:0043928;GO:0009117
Sym_73651_c0_g1	GO:0005829;GO:0047555;GO:0046872;GO:0008152;GO:0007165
Sym_237393_c0_g1	GO:0005634;GO:0003677;GO:0003700;GO:0046872;GO:0030154;GO:0009908;GO:0009910;GO:0006355
Sym_105558_c0_g2	GO:0012505;GO:0005789;GO:0016021;GO:0031090;GO:0020037;GO:0046872;GO:0055114;GO:0045610;GO:0035206
Sym_78859_c0_g2	GO:0005794;GO:0000139;GO:0005795;GO:0016021;GO:0030246;GO:0046872;GO:0004653;GO:0009312;GO:0006486
Sym_134703_c3_g2	GO:0005634;GO:0004534;GO:0003676;GO:0008270;GO:0010587;GO:0006397;GO:0060149;GO:0071035;GO:0000967
Sym_37945_c0_g1	GO:0005887;GO:0009705;GO:0046872;GO:0022841;GO:0071805;GO:0030322
Sym_48291_c0_g1	GO:0005737;GO:0016020;GO:0007049
Sym_77322_c0_g1	GO:0000785;GO:0005829;GO:0005634;GO:0003682;GO:0005085;GO:0042802;GO:0009881;GO:0042803;GO:0009649;GO:0018298;GO:0009411;GO:0010224
Sym_101477_c0_g1	GO:0005789;GO:0016021;GO:0009734;GO:0009733;GO:0055085
Sym_125878_c3_g1	GO:0005777;GO:0003857;GO:0004165;GO:0004300;GO:0006635
Sym_40826_c0_g1	GO:0005829;GO:0070062;GO:0004115;GO:0047555;GO:0019900;GO:0046872;GO:0006198;GO:0071364;GO:0007186;GO:0060548;GO:1903206;GO:0070374;GO:0001934;GO:0006355
Sym_67880_c0_g1	GO:0005789;GO:0016021;GO:0000062;GO:0008289
Sym_52230_c0_g1	GO:0016874;GO:0008168;GO:0016491;GO:0031177
Sym_209328_c0_g1	GO:0016021;GO:0005778;GO:0020037;GO:0016688;GO:0046872;GO:0004601;GO:0034599;GO:0042744;GO:0000302
Sym_270742_c0_g1	GO:0016021;GO:0005886;GO:0005412
Sym_287451_c0_g1	GO:0005739
Sym_215992_c0_g1	GO:0030286;GO:0036156;GO:0005874;GO:0005524;GO:0008569;GO:0005509;GO:0045505;GO:0045503;GO:0051959;GO:0003341;GO:0036159;GO:0007018
Sym_209477_c0_g1	GO:0016757
Sym_209947_c0_g1	GO:0009898;GO:0009897;GO:0005887;GO:0005524;GO:0000155;GO:0009784;GO:0019933;GO:0009736;GO:0007275;GO:0051344;GO:0046777;GO:0006468;GO:0030587;GO:0031288;GO:0031150;GO:0030435
Sym_125221_c4_g1	
Sym_33427_c0_g1	GO:0009507;GO:0005739;GO:0003677;GO:0010019;GO:0031930
Sym_156116_c0_g1	GO:0005737;GO:0005856;GO:0044304;GO:0008270;GO:0030517;GO:1901953;GO:1903827
Sym_94455_c0_g1	GO:0005814;GO:0005874;GO:0005634;GO:0003714;GO:0015631;GO:0051301;GO:0061511;GO:0007099;GO:1903724;GO:1904951;GO:0046599
Sym_92857_c0_g1	GO:0016021
Sym_80424_c0_g1	GO:0004519;GO:0006314
Sym_106662_c1_g1	GO:0005635;GO:0044614;GO:0008139;GO:0003723;GO:0017056;GO:0051028;GO:0000973;GO:0006606;GO:0006405;GO:0034398
Sym_243397_c0_g1	GO:0005509
Sym_307996_c0_g1	GO:0005737;GO:0005829;GO:0005634;GO:0005886;GO:0005524;GO:0005509;GO:0009931;GO:0005516;GO:0004683;GO:0009738;GO:0035556;GO:0018105;GO:0046777
Sym_77575_c0_g2	GO:0005929
Sym_33521_c0_g1	GO:0005737;GO:0005856;GO:0043130;GO:0043161
Sym_32167_c0_g1	GO:0016607;GO:0005634;GO:0003723;GO:0051321;GO:0000395;GO:0045292;GO:0045927;GO:0045836;GO:0000381
Sym_278649_c0_g1	GO:0070062;GO:0016021;GO:0050890;GO:0035556;GO:0055085
Sym_237562_c0_g1	GO:0009341;GO:0004565;GO:0030246;GO:0000287;GO:0005975
Sym_21132_c0_g1	GO:0005783;GO:0005789;GO:0016021;GO:0005506;GO:0031418;GO:0004656;GO:0018401
Sym_100317_c0_g2	GO:0005737;GO:0005829;GO:0005778;GO:0005524;GO:0016887;GO:0042623;GO:0007031;GO:0016558;GO:0016562
Sym_172070_c0_g1	GO:0004427;GO:0000287
Sym_245990_c0_g1	GO:0005737;GO:0005794;GO:0005886;GO:0005525;GO:0006893;GO:0006886;GO:0016192
Sym_79207_c0_g1	GO:0005759;GO:0030060;GO:0005975;GO:0006108;GO:0006099
Sym_65055_c0_g2	GO:0009507;GO:0031969;GO:0009535;GO:0000139;GO:0016021;GO:0016020;GO:0042651;GO:0015299;GO:0009658;GO:0009643;GO:1905157;GO:0006813;GO:0010109
Sym_77536_c0_g1	GO:0005634;GO:0005886;GO:0005773;GO:0005096;GO:0046872;GO:0005543;GO:0009738;GO:0009789;GO:0043547
Sym_158487_c0_g1	GO:0051213;GO:0046872
Sym_311316_c0_g1	GO:0009507;GO:0005739;GO:0009793
Sym_272714_c0_g1	GO:0005737;GO:0005634;GO:0005524;GO:0005509;GO:0009931;GO:0005516;GO:0004683;GO:0030154;GO:0035556;GO:0007275;GO:0018105;GO:0046777;GO:0006468
Sym_237207_c0_g1	GO:0005524;GO:0005509;GO:0004674
Sym_245691_c0_g1	GO:0005737;GO:0008650
Sym_40742_c0_g1	GO:0005634;GO:0031210;GO:0035091;GO:0015914
Sym_274906_c0_g1	GO:0005788;GO:0050211;GO:1904028
Sym_199928_c0_g1	GO:0005829;GO:0000151;GO:0035556;GO:0043687;GO:0016567;GO:0007165;GO:0035914
Sym_32126_c0_g2	GO:0008168
Sym_7348_c0_g1	GO:0005938;GO:0005737;GO:0005829;GO:0031901;GO:0070062;GO:0043231;GO:0016020;GO:0005654;GO:0005886;GO:0032991;GO:1990763;GO:0045236;GO:0016874;GO:0043021;GO:0061630;GO:0044389;GO:0019787;GO:0004842;GO:0006915;GO:0051607;GO:0006954;GO:0045087;GO:0046642;GO:0043066;GO:0050687;GO:0046329;GO:0032088;GO:0032480;GO:0007219;GO:0070423;GO:0045732;GO:2000646;GO:0002669;GO:0043161;GO:0051865;GO:0035519;GO:0070936;GO:0070534;GO:0000209;GO:0016567;GO:0001558;GO:1902036;GO:0090085;GO:0006511;GO:0046718
Sym_24413_c0_g1	GO:0019898;GO:0005794;GO:0000045;GO:0031154;GO:0045324;GO:0016236;GO:0045053;GO:0006623
Sym_53420_c0_g1	GO:0005634;GO:0009506;GO:0016538;GO:0051301;GO:0051321;GO:0070816;GO:0006357;GO:0006355;GO:0009651
Sym_155676_c10_g1	GO:0030665;GO:0000139;GO:0016021;GO:0031902;GO:0005509;GO:0015031
Sym_16756_c0_g1	GO:0005739;GO:0071949;GO:0004657;GO:0042742;GO:0010133;GO:0006979;GO:0009414
Sym_156559_c0_g1	GO:0009507;GO:0005739;GO:0003677;GO:0003913;GO:0006281;GO:0018298
Sym_275379_c0_g1	GO:0005737;GO:0005524;GO:0004674;GO:0032147;GO:0023014;GO:0031098
Sym_158483_c0_g1	GO:0009507;GO:0009941;GO:0009534;GO:0009535;GO:0016020;GO:0005634;GO:0005886;GO:0010287;GO:0009579;GO:0031977;GO:0009658;GO:0042742;GO:0010193
Sym_79394_c0_g1	GO:0034045;GO:0102203;GO:0102205;GO:0102202;GO:0016906;GO:0006914;GO:0005975;GO:0030259;GO:0015031;GO:0016126
Sym_131261_c4_g5	GO:0005829;GO:0005634;GO:0003755;GO:0000993;GO:0080182;GO:0031064;GO:0000122;GO:2000059;GO:2000749;GO:0035307;GO:0045899;GO:0045944;GO:0000413;GO:1901407;GO:0006369
Sym_132609_c4_g1	GO:0009535;GO:0016021;GO:0030076;GO:0009523;GO:0016168;GO:0009765;GO:0018298
Sym_285468_c0_g1	GO:0005634;GO:0051539;GO:0005524;GO:0004003;GO:0003677;GO:0070182;GO:0046872;GO:0032508;GO:0006310;GO:0006281;GO:0006260;GO:0045910;GO:1904430;GO:1904355;GO:1904358;GO:0010569;GO:0000723;GO:0090657
Sym_79627_c0_g1	GO:0005829;GO:0046872;GO:0033743;GO:0030091;GO:0006979
Sym_243564_c0_g1	GO:0016021;GO:0043025;GO:0097730;GO:0005886;GO:0005216;GO:0050896
Sym_136337_c1_g1	GO:0031672;GO:0016324;GO:0043194;GO:0016323;GO:0043034;GO:0005856;GO:0005829;GO:0005769;GO:0014704;GO:0005764;GO:0031430;GO:0016020;GO:0045121;GO:0005739;GO:0005886;GO:0045211;GO:0055037;GO:0042383;GO:0030315;GO:0030018;GO:0051117;GO:0019899;GO:0044325;GO:0140031;GO:0030674;GO:0019901;GO:0030507;GO:0005200;GO:0086014;GO:0086066;GO:0003283;GO:0006874;GO:0034613;GO:0006897;GO:0006888;GO:0086046;GO:0030913;GO:1901021;GO:0051928;GO:2001259;GO:0010628;GO:1901018;GO:0043268;GO:0034394;GO:0070972;GO:0036309;GO:0033365;GO:0072659;GO:0036371;GO:0050821;GO:0015031;GO:0098910;GO:1901019;GO:0051924;GO:0086004;GO:0055117;GO:0010882;GO:0010881;GO:0002027;GO:0086091;GO:0031647;GO:0051279;GO:0098907;GO:0060307;GO:0051597;GO:0086015;GO:0086070;GO:0070296;GO:0033292;GO:0086005
Sym_222060_c0_g1	GO:0009986;GO:0009897;GO:0005615;GO:0019897;GO:0005886;GO:0005509;GO:0042802;GO:0046982;GO:0007512;GO:0007596;GO:0045446;GO:0022617;GO:0006954;GO:0045880;GO:0009791;GO:0051260
Sym_66870_c0_g1	GO:0030176;GO:0030173;GO:0046964;GO:0022857
Sym_77713_c0_g1	GO:0005929;GO:0005815;GO:0005758;GO:0005634;GO:0005819;GO:0003713;GO:0051457;GO:0042531
Sym_140163_c0_g1	GO:0005737;GO:0005634;GO:0005886;GO:0009506;GO:0005524;GO:0005509;GO:0004698;GO:0009931;GO:0005516;GO:0004683;GO:0009738;GO:0035556;GO:0018105;GO:0046777;GO:0009737;GO:0009651
Sym_182899_c0_g1	GO:0009055;GO:0010181;GO:0008752;GO:0016652;GO:0016661
Sym_243928_c0_g1	GO:0046872;GO:0004842
Sym_20393_c0_g1	GO:0005634;GO:0003723
Sym_85126_c0_g1	GO:0005737;GO:0005634;GO:0005886;GO:0033549;GO:0004725;GO:0008138;GO:0034599;GO:0035556;GO:0034053;GO:0043407;GO:0034051;GO:0006979;GO:0010193
Sym_322377_c0_g1	GO:0005737;GO:0005829;GO:0005634;GO:0043248
Sym_141627_c0_g1	GO:0005884;GO:0005938;GO:0030659;GO:0005829;GO:0005783;GO:0005789;GO:0005902;GO:0005730;GO:0005634;GO:0048471;GO:0005886;GO:0005819;GO:0003779;GO:0008017;GO:0051017;GO:0045010;GO:0006974;GO:0071456;GO:0051295;GO:0070649;GO:0051758;GO:0046907;GO:0016344;GO:0007275;GO:0043066;GO:0042177;GO:0048477;GO:0040038;GO:2000781;GO:0015031;GO:0016192
Sym_70876_c0_g1	GO:0071013;GO:0000243;GO:0005829;GO:0005730;GO:0034715;GO:0034719;GO:0005685;GO:0005689;GO:0005686;GO:0005687;GO:0005682;GO:0003723;GO:0048589;GO:0000398;GO:0000387
Sym_102324_c0_g5	GO:0005794;GO:0005525;GO:0015031;GO:0016192
Sym_179071_c0_g1	GO:0005829;GO:0070381;GO:0005794;GO:0000139;GO:0005802;GO:0005525;GO:0003924;GO:0031489;GO:0019904;GO:0019882;GO:0034498;GO:0006891;GO:0006886;GO:0018125;GO:0034067;GO:0032482;GO:0042147;GO:0006890
Sym_16908_c0_g1	GO:0016021;GO:0005743;GO:0005739;GO:0046872;GO:0004222;GO:0006515
Sym_271090_c0_g1	GO:0005912;GO:0030424;GO:0031463;GO:0005737;GO:0030057;GO:0043204;GO:0045109;GO:0051865;GO:0016567;GO:2000312
Sym_27865_c0_g1	GO:0030425;GO:0016021;GO:0043025;GO:0032809;GO:0043204;GO:0005886;GO:0008076;GO:0005251;GO:0044325;GO:0046982;GO:0005249;GO:0071805;GO:0006813;GO:0051260;GO:0072659;GO:0034765
Sym_60620_c0_g1	GO:0005829;GO:0005739;GO:0016607;GO:0043461
Sym_33330_c0_g1	GO:0005737;GO:0016459;GO:0003779;GO:0005524;GO:0005516;GO:0003774;GO:0007015
Sym_185815_c0_g1	GO:0005737;GO:0005829;GO:0005524;GO:0004829;GO:0002181;GO:0006435
Sym_104461_c0_g1	GO:0016021;GO:0005886;GO:0022857
Sym_179442_c0_g1	GO:0005737;GO:0005634;GO:0000151;GO:0005524;GO:0070628;GO:0030674;GO:0043130;GO:0061631;GO:0031625;GO:0004842;GO:0034605;GO:0071629;GO:0006513;GO:0000209;GO:0016567;GO:0006511;GO:0043162
Sym_72821_c0_g1	GO:0005737;GO:0005847;GO:0005634;GO:0005516;GO:0003677;GO:0004519;GO:0004521;GO:0046872;GO:0003729;GO:0003723;GO:0031124;GO:0006378;GO:0009626;GO:0034052;GO:0043068;GO:1900363;GO:2000031;GO:0006979;GO:0006396
Sym_49868_c0_g2	GO:0005768;GO:0015031;GO:1990126
Sym_216240_c0_g1	GO:0009507;GO:0009570;GO:0051537;GO:0009055;GO:0015038;GO:0016787;GO:0046872;GO:0015035;GO:0006812;GO:0045454
Sym_95519_c0_g1	GO:0005524;GO:0048037;GO:0046872;GO:0016746
Sym_32484_c0_g1	GO:0005737;GO:0005856;GO:0005509
Sym_173890_c0_g1	GO:1990718;GO:1904158;GO:0003341;GO:0002064;GO:0060438;GO:0021591
Sym_53400_c0_g1	GO:0005634;GO:0000981;GO:0001227;GO:0046872;GO:0000977;GO:0006974;GO:0000122
Sym_68184_c0_g1	GO:0003998
Sym_174275_c0_g1	GO:0004104
Sym_206053_c0_g1	GO:0005739
Sym_137754_c7_g3	GO:0005929;GO:0005737;GO:0030286;GO:0005874;GO:0005524;GO:0008569;GO:0045505;GO:0045503;GO:0051959;GO:0007018
Sym_171899_c0_g1	GO:0016021;GO:0005886;GO:0015238
Sym_113599_c4_g2	GO:0005886;GO:0004842;GO:0042023;GO:0010091
Sym_277042_c0_g1	GO:0005794;GO:0030154;GO:0007283
Sym_16363_c0_g1	
Sym_140012_c2_g1	GO:0005737;GO:0005634;GO:0005524;GO:0005509;GO:0009931;GO:0005516;GO:0004683;GO:0035556;GO:0018105;GO:0046777;GO:0006468
Sym_147975_c5_g1	GO:0009507;GO:0016021;GO:0005524;GO:0042626
Sym_134677_c3_g4	GO:0005829;GO:0005789;GO:0016021;GO:0031965;GO:0016607;GO:0005634;GO:0046872;GO:0004722
Sym_175121_c0_g1	GO:0005764;GO:0102121;GO:0016810;GO:0017040;GO:0006629
Sym_54824_c0_g1	GO:0005829;GO:0005643;GO:0005654;GO:0061608;GO:0008139;GO:0008565;GO:0006607;GO:0048235
Sym_75758_c0_g1	GO:0016021;GO:0005743;GO:0022857;GO:0006839
Sym_94072_c0_g2	GO:0005694;GO:0005829;GO:0016604;GO:0005654;GO:0005634;GO:0016605;GO:0032991;GO:0004197;GO:1990380;GO:0002039;GO:0008022;GO:0004843;GO:0036459;GO:0008134;GO:0031625;GO:0101005;GO:0035616;GO:0010216;GO:0035520;GO:0007275;GO:0032088;GO:0032435;GO:1901537;GO:0016579;GO:0050821;GO:0051090;GO:0031647;GO:1904353;GO:0006283;GO:0006511;GO:0016032
Sym_215350_c0_g1	GO:0009317;GO:0005789;GO:1905502;GO:0003989;GO:0005524;GO:0004075;GO:0016743;GO:0042802;GO:0046872;GO:0042803;GO:0006085;GO:0042759;GO:2001295;GO:0006998;GO:0006606
Sym_150752_c0_g1	GO:0009279;GO:0043165;GO:0051205
Sym_244916_c0_g1	GO:0005789;GO:0016021;GO:0004573;GO:0009311;GO:0006487
Sym_102635_c9_g1	GO:0005576;GO:0005739;GO:0046872;GO:0052856;GO:0052857;GO:0000166
Sym_171919_c0_g1	GO:0003723;GO:0120159;GO:0001522;GO:0006364
Sym_16914_c0_g1	GO:0009507;GO:0009570;GO:0009535;GO:0080124;GO:0015996
Sym_186147_c0_g1	GO:0005737;GO:0005829;GO:0070062;GO:0001650;GO:0098978;GO:0005654;GO:0005634;GO:0098794;GO:0005524;GO:0009931;GO:0005516;GO:0004683;GO:0002250;GO:0006954;GO:0035556;GO:0007616;GO:0043011;GO:0018105;GO:0045893;GO:0046777;GO:0006468;GO:0045670;GO:0033081;GO:0007165
Sym_180188_c0_g1	GO:0005615;GO:0005764;GO:0005634;GO:0000325;GO:0005886;GO:0004197;GO:0010623;GO:0051603
Sym_125355_c0_g5	GO:0005829;GO:0005730;GO:0005634;GO:0003682;GO:0042393;GO:0042054;GO:0070612;GO:0070611;GO:0044020;GO:0008469;GO:0016274;GO:0035242;GO:0035241;GO:0090398;GO:0006281;GO:0034969;GO:0034970;GO:0016571;GO:0051572;GO:0000122;GO:0045892;GO:0019919;GO:0035246;GO:1901796;GO:0006355
Sym_95477_c0_g1	GO:0005739
Sym_156226_c0_g1	GO:0005737;GO:0005783;GO:0005789;GO:0000139;GO:0016021;GO:0016020;GO:0005634;GO:0000246;GO:0050614;GO:0019899;GO:0071949;GO:0016628;GO:0042605;GO:0006915;GO:0007050;GO:0006695;GO:0033489;GO:0033490;GO:0043066;GO:0043154;GO:0055114;GO:1901214;GO:0006979;GO:0043588;GO:0008202;GO:0009888
Sym_238836_c0_g1	GO:0009986;GO:0019862;GO:0046872;GO:0050777;GO:1902564;GO:0009405
Sym_60373_c0_g3	GO:0016021;GO:0005524;GO:0016887;GO:0031409;GO:0055085
Sym_103643_c3_g3	GO:0015629;GO:0005737;GO:0005829;GO:0005789;GO:0016021;GO:0016020;GO:0005634;GO:0048471;GO:0000033;GO:0048306;GO:0004378;GO:0102704;GO:0046982;GO:0047485;GO:0006488;GO:0006490;GO:0033577;GO:0051592
