coral,genotype,sym,treatment,temperature,behaviour
AF3,F,B,Heat,31,5
AP4,P,W,Heat,31,4
AC6,C,W,Heat,31,5
AE3,E,W,Heat,31,3
AH1,H,W,Heat,31,5
AJ6,J,B,Cold,5,1
AF5,F,B,Cold,5,1
AB2,B,B,Cold,5,1
AH3,H,W,Cold,5,1
AA3,A,W,Cold,5,1
AD6,D,W,Cold,5,1
AE1,E,W,Cold,5,1
AM1,M,B,Cold,5,1
AO5,O,B,Cold,5,1
AR2,R,B,Cold,5,1
AT5,T,B,Cold,5,1
AJ1,J,B,Cold,5,1
AI5,I,B,Cold,5,2
AB5,B,B,Cold,5,1
AK3,K,W,Cold,5,1
AC2,C,W,Cold,5,1
AD8,D,W,Cold,5,1
AG4,G,W,Cold,5,1
AL1,L,B,Cold,5,1
AQ6,Q,B,Cold,5,1
AS5,S,B,Cold,5,1
AT4,T,B,Cold,5,1
AJ2,J,B,Cold,5,1
AI4,I,B,Cold,5,1
AF8,F,B,Cold,5,1
AP1,P,W,Cold,5,1
AC5,C,W,Cold,5,1
AE2,E,W,Cold,5,1
AG3,G,W,Cold,5,1
AN2,N,B,Cold,5,1
AR3,R,B,Cold,5,1
AS2,S,B,Cold,5,1
