Treatment,Genotype,Sym State,Day,Red,Green,Blue,,
Control,AJ7,B,7,55.1,38.5,19.5,,
Control,AF2,B,7,52.3,33.8,13.5,,
Control,AB1,B,7,50.8,34,16.6,,
Control,AK5,W,7,125.8,102.3,65.9,,
Control,AC3,W,7,126.6,104.5,70.9,,
Control,AD3,W,7,54.7,33.4,25.2,,
Control,AE6,W,7,111.7,85.5,71.8,,
Control,AS1,B,7,37.2,25,12.7,,
Control,AR5,B,7,49.5,30.7,12.2,,
Control,AN3,B,7,49,32.5,18.4,,
Control,AL3,B,7,49.7,36.8,21.4,,
Control,AI1,B,7,45.6,29,13.4,,
Control,AB6,B,7,34.3,22.9,9.7,,
Control,AP3,W,7,64.4,54.5,32.2,,
Control,AC4,W,7,102.8,83.6,48.2,,
Control,AD4,W,7,83.6,59.8,49.1,,
Control,AG2,W,7,108.2,88.2,59.9,,
Heat,AT6,B,7,30.2,21.4,11.3,,
Heat,AS3,B,7,44.8,31,17.3,,
Heat,AO3,B,7,48.1,34.9,20.6,,
Heat,AM2,B,7,55.4,40.1,24.5,,
Heat,AJ5,B,7,34.5,24.7,13.4,,
Heat,AF4,B,7,55.1,36.2,13.5,,
Heat,AB3,B,7,42.9,28.1,12.2,,
Heat,AH4,W,7,113.9,86,59.2,,
Heat,AA2,W,7,83.9,71.7,50.5,,
Heat,AD1,W,7,101.6,73.4,53.7,,
Heat,AE5,W,7,70.6,52.7,35.5,,
Heat,AS6,B,7,45.7,32,17.2,,
Heat,AQ3,B,7,43.6,28.8,14.1,,
Heat,AL2,B,7,39.1,29.2,18.1,,
Heat,AJ3,B,7,48.1,32.2,13.9,,
Heat,AI3,B,7,41.7,27.2,10.7,,
Heat,AB4,B,7,33.5,19.8,6,,
Heat,AK2,W,7,121.1,99.7,63.8,,
Heat,AC1,W,7,132.4,107.3,69.7,,
Heat,AD5,W,7,109,74.9,58.7,,
Heat,AG1,W,7,94.9,77.2,55.8,,
Heat,AT1,B,7,42,28.2,16.7,,
Heat,AR4,B,7,37.9,25.7,13.3,,
Heat,AN1,B,7,43.8,30.4,15.3,,
Heat,AQ1,B,7,39.2,26.5,13.2,,
Heat,AI2,B,7,56.6,42.2,27.1,,
Heat,AF3,B,7,54.3,35.1,19.7,,
Heat,AP4,W,7,115.7,90,62.2,,
Heat,AC6,W,7,151.1,124.4,90.1,,
Heat,AE3,W,7,93.6,68.3,44.8,,
Heat,AH1,W,7,88.2,67.1,42.5,,
Cold,AJ6,B,7,49,33.1,15.7,,
Cold,AF5,B,7,57,37.3,18.1,,
Cold,AB2,B,7,46,31.1,14.4,,
Cold,AH3,W,7,67.4,40.5,21.8,,
Cold,AA3,W,7,78.5,63.2,40.7,,
Cold,AD6,W,7,115.1,88.7,67.8,,
Cold,AE1,W,7,127.9,94,67.9,,
Cold,AM1,B,7,42.2,28.4,15.9,,
Cold,AO5,B,7,49.9,31.7,14.6,,
Cold,AR2,B,7,45.5,30.9,15.7,,
Cold,AT5,B,7,46.6,31.3,18.9,,
Cold,AJ1,B,7,57.6,41.3,23.5,,
Cold,AI5,B,7,55.5,39.2,24.2,,
Cold,AB5,B,7,50.8,33.5,13.6,,
Cold,AK3,W,7,130.3,109.2,75,,
Cold,AC2,W,7,136.9,115.2,91.4,,
Cold,AD8,W,7,97.3,68,60.8,,
Cold,AG4,W,7,106.4,85.5,55.8,,
Cold,AL1,B,7,66,44.8,22.5,,
Cold,AQ6,B,7,64.2,49,30.1,,
Cold,AS5,B,7,51,36.9,21.6,,
Cold,AT4,B,7,52.1,34.3,19.7,,
Cold,AJ2,B,7,57.7,40.3,19.4,,
Cold,AI4,B,7,78.7,57.6,34.5,,
Cold,AF8,B,7,62.5,41.6,20.1,,
Cold,AP1,W,7,107.8,88.1,70.1,,
Cold,AC5,W,7,112.7,93.1,62.3,,
Cold,AE2,W,7,99.8,71.2,58.9,,
Cold,AG3,W,7,120.8,97,58,,
Cold,AN2,B,7,62.1,47.8,33.4,,
Cold,AR3,B,7,56.2,38.5,23.7,,
Cold,AS2,B,7,66.5,48.5,28.9,,
Control,AT2,B,14,33.7,25.8,16.8,,
Control,AR1,B,14,35.6,26,18.4,,
Control,AO2,B,14,22.9,15.9,11,,
Control,AM3,B,14,46.5,31.3,24.6,,
Control,AJ4,B,14,28,21.6,15,,
Control,AF1,B,14,39.4,27.5,18.5,,
Control,AP2,W,14,88.7,72.4,52.3,,
Control,AH2,W,14,113.3,77.9,56.1,,
Control,AA4,W,14,96,83.8,55.3,,
Control,AD2,W,14,100.7,69.9,60.3,,
Control,AE4,W,14,92,73.5,60.7,,
Control,AT3,B,14,23.4,15.9,13.2,,
Control,AS4,B,14,45.2,36.2,26.9,,
Control,AQ5,B,14,61.5,52.2,34.6,,
Control,AN5,B,14,43,33.8,25.4,,
Control,AJ7,B,14,30.1,21.5,15.1,,
Control,AF2,B,14,41.9,29.7,18.8,,
Control,AB1,B,14,29.8,20.5,12.6,,
Control,AK5,W,14,135.9,111.8,74.2,,
Control,AC3,W,14,107.8,90.8,63.1,,
Control,AD3,W,14,61.8,38.2,31.3,,
Control,AE6,W,14,89.9,61.4,46,,
Control,AS1,B,14,31.3,24,17,,
Control,AR5,B,14,32,19.5,11.8,,
Control,AN3,B,14,42.5,30.4,20,,
Control,AL3,B,14,36.6,29.3,22,,
Control,AI1,B,14,49.2,35.8,23.1,,
Control,AB6,B,14,16.8,12.7,8.1,,
Control,AP3,W,14,45.5,40.3,26.9,,
Control,AC4,W,14,98.2,79.7,49.9,,
Control,AD4,W,14,86.9,60.2,49.5,,
Control,AG2,W,14,102.9,89.2,70,,
Heat,AT6,B,14,16.6,10.2,8.5,,
Heat,AO3,B,14,38.4,28.5,21.4,,
Heat,AM2,B,14,49.6,37.7,27.9,,
Heat,AJ5,B,14,19.8,16.6,13.4,,
Heat,AF4,B,14,45.8,32.8,22.6,,
Heat,AB3,B,14,29.4,22.6,16.6,,
Heat,AH4,W,14,90.5,67.1,49.3,,
Heat,AA2,W,14,79.7,68.1,46.9,,
Heat,AD1,W,14,74.1,56.8,44.6,,
Heat,AE5,W,14,44.1,35.1,29.1,,
Heat,AQ3,B,14,31.2,23.6,17.6,,
Heat,AL2,B,14,32.9,26,21.3,,
Heat,AJ3,B,14,29,21.6,15.1,,
Heat,AI3,B,14,39,31.2,18.9,,
Heat,AB4,B,14,52.6,40.5,22.8,,
Heat,AK2,W,14,79.3,69.2,50.2,,
Heat,AC1,W,14,90.1,75.2,54.1,,
Heat,AD5,W,14,72.7,45.9,36,,
Heat,AT1,B,14,23.1,18.7,19.9,,
Heat,AR4,B,14,65.3,48.1,31.4,,
Heat,AN1,B,14,36.8,28.1,22,,
Heat,AQ1,B,14,32.3,25.3,21.2,,
Heat,AI2,B,14,57.9,52.2,48.4,,
Heat,AF3,B,14,61.1,41.4,27.7,,
Heat,AP4,W,14,41.3,30.8,27,,
Heat,AC6,W,14,111.2,93.2,71.7,,
Heat,AE3,W,14,72,53.1,45.8,,
Heat,AH1,W,14,53.4,38.8,24.7,,
Cold,AJ6,B,14,35.8,25.7,19.8,,
Cold,AF5,B,14,81.3,62.3,41.7,,
Cold,AB2,B,14,44.3,31.4,19.3,,
Cold,AH3,W,14,53.8,36.1,26,,
Cold,AA3,W,14,69.1,53,36,,
Cold,AD6,W,14,112.3,90.6,79.7,,
Cold,AE1,W,14,121.2,88.2,71.2,,
Cold,AM1,B,14,36.1,25.8,19,,
Cold,AO5,B,14,51.4,34.7,24.1,,
Cold,AR2,B,14,39.3,27.8,18.1,,
Cold,AT5,B,14,31.1,20.7,14.5,,
Cold,AJ1,B,14,35.2,27.4,19.6,,
Cold,AI5,B,14,50.2,35.2,23.3,,
Cold,AB5,B,14,74.7,54.8,32.1,,
Cold,AK3,W,14,110.7,96.2,73.4,,
Cold,AC2,W,14,90.5,81.2,65.4,,
Cold,AD8,W,14,71.5,48.3,45.6,,
Cold,AG4,W,14,90.8,73.1,49.7,,
Cold,AL1,B,14,53.7,39.6,26.7,,
Cold,AQ6,B,14,53.2,40.5,29.8,,
Cold,AS5,B,14,32.2,23.6,17.8,,
Cold,AT4,B,14,31.8,23,19.2,,
Cold,AJ2,B,14,54.2,39.6,25.5,,
Cold,AI4,B,14,79.4,60.4,41,,
Cold,AF8,B,14,68.9,46.4,26.5,,
Cold,AP1,W,14,94.7,82,71.9,,
Cold,AC5,W,14,97.7,83.5,63.3,,
Cold,AE2,W,14,81.9,56.7,54.2,,
Cold,AG3,W,14,96.2,80.2,57.6,,
Cold,AN2,B,14,51.2,41.4,32.3,,
Cold,AR3,B,14,40.4,29.9,24.2,,
Cold,AS2,B,14,69.2,53.8,43,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
