Sym_88503_c0_g1_i1	Sym_88503_c0_g1
Sym_5639_c0_g1_i1	Sym_5639_c0_g1
Sym_5605_c0_g1_i1	Sym_5605_c0_g1
Sym_37817_c0_g1_i2	Sym_37817_c0_g1
Sym_37873_c0_g1_i1	Sym_37873_c0_g1
Sym_37811_c0_g1_i1	Sym_37811_c0_g1
Sym_37813_c0_g1_i1	Sym_37813_c0_g1
Sym_37888_c0_g1_i1	Sym_37888_c0_g1
Sym_37825_c0_g1_i1	Sym_37825_c0_g1
Sym_37836_c0_g1_i1	Sym_37836_c0_g1
Sym_37840_c0_g1_i1	Sym_37840_c0_g1
Sym_37858_c0_g1_i1	Sym_37858_c0_g1
Sym_37893_c0_g1_i1	Sym_37893_c0_g1
Sym_37857_c0_g1_i2	Sym_37857_c0_g1
Sym_37894_c0_g1_i1	Sym_37894_c0_g1
Sym_37843_c0_g1_i2	Sym_37843_c0_g1
Sym_37848_c0_g1_i1	Sym_37848_c0_g1
Sym_37883_c0_g1_i1	Sym_37883_c0_g1
Sym_37832_c0_g1_i1	Sym_37832_c0_g1
Sym_37861_c0_g1_i1	Sym_37861_c0_g1
Sym_37812_c0_g1_i1	Sym_37812_c0_g1
Sym_37837_c0_g1_i1	Sym_37837_c0_g1
Sym_37815_c0_g1_i1	Sym_37815_c0_g1
Sym_37890_c0_g1_i1	Sym_37890_c0_g1
Sym_37835_c0_g1_i1	Sym_37835_c0_g1
Sym_37801_c0_g1_i1	Sym_37801_c0_g1
Sym_37819_c0_g1_i1	Sym_37819_c0_g1
Sym_37810_c0_g1_i1	Sym_37810_c0_g1
Sym_37874_c0_g1_i1	Sym_37874_c0_g1
Sym_79330_c0_g1_i1	Sym_79330_c0_g1
Sym_79340_c0_g1_i2	Sym_79340_c0_g1
Sym_79335_c0_g1_i2	Sym_79335_c0_g1
Sym_79333_c0_g1_i2	Sym_79333_c0_g1
Sym_79395_c0_g1_i1	Sym_79395_c0_g1
Sym_79406_c0_g1_i1	Sym_79406_c0_g1
Sym_79418_c0_g1_i1	Sym_79418_c0_g1
Sym_79358_c0_g2_i1	Sym_79358_c0_g2
Sym_79398_c0_g1_i1	Sym_79398_c0_g1
Sym_79408_c0_g1_i1	Sym_79408_c0_g1
Sym_79343_c0_g1_i1	Sym_79343_c0_g1
Sym_79332_c0_g1_i1	Sym_79332_c0_g1
Sym_79375_c0_g1_i1	Sym_79375_c0_g1
Sym_79381_c0_g1_i1	Sym_79381_c0_g1
Sym_79373_c0_g1_i1	Sym_79373_c0_g1
Sym_79339_c0_g2_i1	Sym_79339_c0_g2
Sym_79388_c0_g1_i3	Sym_79388_c0_g1
Sym_79388_c0_g2_i1	Sym_79388_c0_g2
Sym_79421_c0_g1_i1	Sym_79421_c0_g1
Sym_79394_c0_g1_i1	Sym_79394_c0_g1
Sym_79415_c0_g1_i1	Sym_79415_c0_g1
Sym_79378_c0_g1_i1	Sym_79378_c0_g1
Sym_79385_c0_g1_i2	Sym_79385_c0_g1
Sym_79368_c0_g1_i1	Sym_79368_c0_g1
Sym_79399_c0_g1_i1	Sym_79399_c0_g1
Sym_79329_c0_g1_i3	Sym_79329_c0_g1
Sym_79384_c0_g1_i2	Sym_79384_c0_g1
Sym_80325_c0_g1_i1	Sym_80325_c0_g1
Sym_80285_c0_g1_i1	Sym_80285_c0_g1
Sym_80285_c0_g2_i1	Sym_80285_c0_g2
Sym_80319_c0_g1_i1	Sym_80319_c0_g1
Sym_80302_c0_g1_i1	Sym_80302_c0_g1
Sym_80311_c0_g1_i1	Sym_80311_c0_g1
Sym_80317_c0_g1_i2	Sym_80317_c0_g1
Sym_80279_c0_g1_i1	Sym_80279_c0_g1
Sym_80260_c0_g1_i1	Sym_80260_c0_g1
Sym_80310_c0_g1_i2	Sym_80310_c0_g1
Sym_80321_c0_g1_i1	Sym_80321_c0_g1
Sym_80229_c0_g1_i1	Sym_80229_c0_g1
Sym_80275_c0_g1_i1	Sym_80275_c0_g1
Sym_80251_c0_g1_i1	Sym_80251_c0_g1
Sym_80251_c0_g2_i1	Sym_80251_c0_g2
Sym_80314_c0_g1_i1	Sym_80314_c0_g1
Sym_80289_c0_g1_i2	Sym_80289_c0_g1
Sym_80289_c0_g2_i1	Sym_80289_c0_g2
Sym_80265_c0_g1_i1	Sym_80265_c0_g1
Sym_80265_c0_g2_i2	Sym_80265_c0_g2
Sym_80265_c0_g3_i1	Sym_80265_c0_g3
Sym_80273_c0_g1_i1	Sym_80273_c0_g1
Sym_80236_c0_g1_i2	Sym_80236_c0_g1
Sym_80232_c0_g1_i1	Sym_80232_c0_g1
Sym_80306_c0_g1_i1	Sym_80306_c0_g1
Sym_80278_c0_g1_i1	Sym_80278_c0_g1
Sym_80250_c0_g1_i1	Sym_80250_c0_g1
Sym_80286_c0_g1_i1	Sym_80286_c0_g1
Sym_80227_c0_g2_i1	Sym_80227_c0_g2
Sym_80266_c0_g1_i1	Sym_80266_c0_g1
Sym_80315_c0_g1_i1	Sym_80315_c0_g1
Sym_80298_c0_g1_i1	Sym_80298_c0_g1
Sym_80326_c0_g1_i1	Sym_80326_c0_g1
Sym_28720_c0_g1_i1	Sym_28720_c0_g1
Sym_28720_c0_g1_i2	Sym_28720_c0_g1
Sym_28753_c0_g1_i1	Sym_28753_c0_g1
Sym_28718_c0_g1_i1	Sym_28718_c0_g1
Sym_28768_c0_g1_i1	Sym_28768_c0_g1
Sym_28765_c0_g1_i1	Sym_28765_c0_g1
Sym_28740_c0_g1_i1	Sym_28740_c0_g1
Sym_28784_c0_g1_i1	Sym_28784_c0_g1
Sym_79426_c0_g1_i1	Sym_79426_c0_g1
Sym_79446_c0_g1_i2	Sym_79446_c0_g1
Sym_79511_c0_g1_i1	Sym_79511_c0_g1
Sym_79511_c0_g1_i2	Sym_79511_c0_g1
Sym_79511_c0_g2_i1	Sym_79511_c0_g2
Sym_79511_c0_g3_i1	Sym_79511_c0_g3
Sym_79436_c0_g1_i1	Sym_79436_c0_g1
Sym_79501_c0_g1_i1	Sym_79501_c0_g1
Sym_79520_c0_g1_i2	Sym_79520_c0_g1
Sym_79451_c0_g1_i1	Sym_79451_c0_g1
Sym_79438_c0_g1_i1	Sym_79438_c0_g1
Sym_79435_c0_g1_i2	Sym_79435_c0_g1
Sym_79488_c0_g1_i1	Sym_79488_c0_g1
Sym_79453_c0_g1_i2	Sym_79453_c0_g1
Sym_79484_c0_g1_i1	Sym_79484_c0_g1
Sym_79430_c0_g1_i1	Sym_79430_c0_g1
Sym_79434_c0_g1_i1	Sym_79434_c0_g1
Sym_79473_c0_g1_i2	Sym_79473_c0_g1
Sym_79464_c0_g1_i1	Sym_79464_c0_g1
Sym_79454_c0_g1_i1	Sym_79454_c0_g1
Sym_79437_c0_g1_i1	Sym_79437_c0_g1
Sym_79437_c0_g2_i1	Sym_79437_c0_g2
Sym_79513_c0_g1_i1	Sym_79513_c0_g1
Sym_79448_c0_g1_i1	Sym_79448_c0_g1
Sym_79487_c0_g2_i3	Sym_79487_c0_g2
Sym_79477_c0_g1_i2	Sym_79477_c0_g1
Sym_79508_c0_g1_i2	Sym_79508_c0_g1
Sym_79459_c0_g1_i2	Sym_79459_c0_g1
Sym_79517_c0_g1_i1	Sym_79517_c0_g1
Sym_79445_c0_g1_i1	Sym_79445_c0_g1
Sym_79458_c0_g1_i1	Sym_79458_c0_g1
Sym_12483_c0_g1_i1	Sym_12483_c0_g1
Sym_12498_c0_g1_i1	Sym_12498_c0_g1
Sym_12443_c0_g1_i1	Sym_12443_c0_g1
Sym_12465_c0_g1_i1	Sym_12465_c0_g1
Sym_12441_c0_g1_i1	Sym_12441_c0_g1
Sym_12430_c0_g1_i1	Sym_12430_c0_g1
Sym_12485_c0_g1_i1	Sym_12485_c0_g1
Sym_12451_c0_g1_i1	Sym_12451_c0_g1
Sym_12431_c0_g1_i1	Sym_12431_c0_g1
Sym_12489_c0_g1_i1	Sym_12489_c0_g1
Sym_12401_c0_g1_i1	Sym_12401_c0_g1
Sym_12411_c0_g1_i1	Sym_12411_c0_g1
Sym_12424_c0_g1_i1	Sym_12424_c0_g1
Sym_12468_c0_g1_i1	Sym_12468_c0_g1
Sym_96774_c0_g1_i7	Sym_96774_c0_g1
Sym_96774_c0_g1_i2	Sym_96774_c0_g1
Sym_96819_c0_g1_i2	Sym_96819_c0_g1
Sym_96755_c0_g1_i1	Sym_96755_c0_g1
Sym_96749_c1_g2_i1	Sym_96749_c1_g2
Sym_96749_c1_g1_i1	Sym_96749_c1_g1
Sym_4789_c0_g1_i1	Sym_4789_c0_g1
Sym_4708_c0_g1_i1	Sym_4708_c0_g1
Sym_4752_c0_g1_i1	Sym_4752_c0_g1
Sym_80397_c1_g2_i1	Sym_80397_c1_g2
Sym_80397_c1_g1_i1	Sym_80397_c1_g1
Sym_80397_c0_g1_i1	Sym_80397_c0_g1
Sym_80420_c0_g1_i1	Sym_80420_c0_g1
Sym_80370_c0_g1_i1	Sym_80370_c0_g1
Sym_80370_c0_g2_i1	Sym_80370_c0_g2
Sym_80355_c0_g1_i1	Sym_80355_c0_g1
Sym_80355_c0_g2_i1	Sym_80355_c0_g2
Sym_80399_c0_g1_i1	Sym_80399_c0_g1
Sym_80399_c0_g2_i1	Sym_80399_c0_g2
Sym_80339_c0_g1_i2	Sym_80339_c0_g1
Sym_80359_c0_g1_i1	Sym_80359_c0_g1
Sym_80359_c0_g2_i1	Sym_80359_c0_g2
Sym_80342_c0_g1_i1	Sym_80342_c0_g1
Sym_80375_c0_g1_i1	Sym_80375_c0_g1
Sym_80375_c0_g2_i1	Sym_80375_c0_g2
Sym_80356_c0_g1_i2	Sym_80356_c0_g1
Sym_80380_c0_g1_i1	Sym_80380_c0_g1
Sym_80380_c0_g2_i1	Sym_80380_c0_g2
Sym_80426_c0_g1_i1	Sym_80426_c0_g1
Sym_80333_c0_g1_i1	Sym_80333_c0_g1
Sym_80334_c0_g1_i1	Sym_80334_c0_g1
Sym_80425_c0_g1_i1	Sym_80425_c0_g1
Sym_80376_c0_g1_i3	Sym_80376_c0_g1
Sym_80376_c0_g2_i1	Sym_80376_c0_g2
Sym_80405_c0_g1_i1	Sym_80405_c0_g1
Sym_80424_c0_g1_i1	Sym_80424_c0_g1
Sym_80337_c0_g1_i1	Sym_80337_c0_g1
Sym_80372_c0_g1_i1	Sym_80372_c0_g1
Sym_80382_c0_g1_i1	Sym_80382_c0_g1
Sym_80383_c0_g1_i1	Sym_80383_c0_g1
Sym_80349_c0_g2_i1	Sym_80349_c0_g2
Sym_80349_c0_g2_i2	Sym_80349_c0_g2
Sym_80404_c0_g1_i1	Sym_80404_c0_g1
Sym_80329_c0_g1_i1	Sym_80329_c0_g1
Sym_80361_c0_g1_i2	Sym_80361_c0_g1
Sym_80385_c0_g1_i1	Sym_80385_c0_g1
Sym_80385_c0_g2_i1	Sym_80385_c0_g2
Sym_80328_c0_g1_i1	Sym_80328_c0_g1
Sym_80392_c0_g1_i1	Sym_80392_c0_g1
Sym_80418_c0_g1_i1	Sym_80418_c0_g1
Sym_80379_c0_g1_i1	Sym_80379_c0_g1
Sym_80394_c0_g1_i1	Sym_80394_c0_g1
Sym_80406_c0_g1_i2	Sym_80406_c0_g1
Sym_80390_c0_g1_i3	Sym_80390_c0_g1
Sym_80330_c0_g1_i1	Sym_80330_c0_g1
Sym_28806_c0_g1_i1	Sym_28806_c0_g1
Sym_28806_c0_g1_i2	Sym_28806_c0_g1
Sym_28891_c0_g1_i1	Sym_28891_c0_g1
Sym_54095_c0_g2_i1	Sym_54095_c0_g2
Sym_54044_c0_g1_i1	Sym_54044_c0_g1
Sym_54040_c0_g1_i1	Sym_54040_c0_g1
Sym_54036_c0_g1_i2	Sym_54036_c0_g1
Sym_54050_c0_g1_i1	Sym_54050_c0_g1
Sym_54058_c0_g1_i1	Sym_54058_c0_g1
Sym_54065_c0_g1_i1	Sym_54065_c0_g1
Sym_54065_c0_g1_i2	Sym_54065_c0_g1
Sym_54067_c0_g1_i1	Sym_54067_c0_g1
Sym_54077_c0_g1_i2	Sym_54077_c0_g1
Sym_54000_c0_g1_i1	Sym_54000_c0_g1
Sym_54055_c0_g1_i1	Sym_54055_c0_g1
Sym_54098_c0_g2_i1	Sym_54098_c0_g2
Sym_71220_c0_g1_i2	Sym_71220_c0_g1
Sym_71271_c0_g1_i1	Sym_71271_c0_g1
Sym_71266_c0_g1_i1	Sym_71266_c0_g1
Sym_71274_c0_g1_i2	Sym_71274_c0_g1
Sym_71216_c0_g1_i1	Sym_71216_c0_g1
Sym_71277_c0_g1_i1	Sym_71277_c0_g1
Sym_19766_c0_g1_i1	Sym_19766_c0_g1
Sym_19778_c0_g1_i1	Sym_19778_c0_g1
Sym_19740_c0_g1_i1	Sym_19740_c0_g1
Sym_19795_c0_g1_i1	Sym_19795_c0_g1
Sym_19709_c0_g1_i1	Sym_19709_c0_g1
Sym_19733_c0_g1_i1	Sym_19733_c0_g1
Sym_19746_c0_g1_i1	Sym_19746_c0_g1
Sym_19764_c0_g1_i1	Sym_19764_c0_g1
Sym_19715_c0_g1_i1	Sym_19715_c0_g1
Sym_19770_c0_g1_i1	Sym_19770_c0_g1
Sym_19736_c0_g1_i1	Sym_19736_c0_g1
Sym_19727_c0_g1_i2	Sym_19727_c0_g1
Sym_19765_c0_g1_i1	Sym_19765_c0_g1
Sym_19755_c0_g1_i1	Sym_19755_c0_g1
Sym_19717_c0_g1_i2	Sym_19717_c0_g1
Sym_19763_c0_g1_i1	Sym_19763_c0_g1
Sym_19747_c0_g1_i1	Sym_19747_c0_g1
Sym_19798_c0_g1_i1	Sym_19798_c0_g1
Sym_0_c0_g1_i1	Sym_0_c0_g1
Sym_32_c0_g1_i1	Sym_32_c0_g1
Sym_58_c0_g1_i1	Sym_58_c0_g1
Sym_10_c0_g1_i1	Sym_10_c0_g1
Sym_17_c0_g1_i2	Sym_17_c0_g1
Sym_68_c0_g1_i1	Sym_68_c0_g1
Sym_61_c0_g1_i1	Sym_61_c0_g1
Sym_20_c0_g1_i1	Sym_20_c0_g1
Sym_67_c0_g1_i1	Sym_67_c0_g1
Sym_12_c0_g1_i1	Sym_12_c0_g1
Sym_96_c0_g1_i2	Sym_96_c0_g1
Sym_79_c0_g1_i1	Sym_79_c0_g1
Sym_23_c0_g1_i1	Sym_23_c0_g1
Sym_70_c0_g1_i1	Sym_70_c0_g1
Sym_53_c0_g1_i1	Sym_53_c0_g1
Sym_80_c0_g1_i1	Sym_80_c0_g1
Sym_87_c0_g1_i1	Sym_87_c0_g1
Sym_22_c0_g1_i1	Sym_22_c0_g1
Sym_76_c0_g1_i1	Sym_76_c0_g1
Sym_19_c0_g1_i1	Sym_19_c0_g1
Sym_55_c0_g1_i1	Sym_55_c0_g1
Sym_18_c0_g1_i1	Sym_18_c0_g1
Sym_91_c0_g1_i2	Sym_91_c0_g1
Sym_91_c0_g2_i1	Sym_91_c0_g2
Sym_60_c0_g1_i1	Sym_60_c0_g1
Sym_39_c0_g1_i1	Sym_39_c0_g1
Sym_54_c0_g1_i1	Sym_54_c0_g1
Sym_75_c0_g1_i1	Sym_75_c0_g1
Sym_20687_c0_g1_i1	Sym_20687_c0_g1
Sym_20651_c0_g1_i1	Sym_20651_c0_g1
Sym_20650_c0_g1_i1	Sym_20650_c0_g1
Sym_20626_c0_g1_i1	Sym_20626_c0_g1
Sym_20666_c0_g1_i1	Sym_20666_c0_g1
Sym_20621_c0_g1_i1	Sym_20621_c0_g1
Sym_20699_c0_g1_i1	Sym_20699_c0_g1
Sym_20689_c0_g1_i1	Sym_20689_c0_g1
Sym_20674_c0_g1_i1	Sym_20674_c0_g1
Sym_20698_c0_g1_i1	Sym_20698_c0_g1
Sym_20657_c0_g1_i1	Sym_20657_c0_g1
Sym_20643_c0_g1_i1	Sym_20643_c0_g1
Sym_20615_c0_g1_i1	Sym_20615_c0_g1
Sym_20635_c0_g1_i1	Sym_20635_c0_g1
Sym_20638_c0_g1_i1	Sym_20638_c0_g1
Sym_20669_c0_g1_i1	Sym_20669_c0_g1
Sym_20622_c0_g1_i1	Sym_20622_c0_g1
Sym_20667_c0_g1_i1	Sym_20667_c0_g1
Sym_20625_c0_g1_i1	Sym_20625_c0_g1
Sym_20649_c0_g1_i1	Sym_20649_c0_g1
Sym_20663_c0_g2_i1	Sym_20663_c0_g2
Sym_20634_c0_g1_i1	Sym_20634_c0_g1
Sym_20696_c0_g1_i1	Sym_20696_c0_g1
Sym_20676_c0_g1_i1	Sym_20676_c0_g1
Sym_20646_c0_g1_i1	Sym_20646_c0_g1
Sym_20692_c0_g1_i1	Sym_20692_c0_g1
Sym_20627_c0_g1_i1	Sym_20627_c0_g1
Sym_20609_c0_g1_i1	Sym_20609_c0_g1
Sym_20610_c0_g1_i1	Sym_20610_c0_g1
Sym_20633_c0_g1_i1	Sym_20633_c0_g1
Sym_20682_c0_g1_i1	Sym_20682_c0_g1
Sym_20690_c0_g1_i1	Sym_20690_c0_g1
Sym_20604_c0_g1_i1	Sym_20604_c0_g1
Sym_20612_c0_g1_i1	Sym_20612_c0_g1
Sym_20680_c0_g1_i1	Sym_20680_c0_g1
Sym_20664_c0_g1_i1	Sym_20664_c0_g1
Sym_3849_c0_g1_i1	Sym_3849_c0_g1
Sym_3851_c0_g1_i1	Sym_3851_c0_g1
Sym_3856_c0_g1_i1	Sym_3856_c0_g1
Sym_3834_c0_g1_i1	Sym_3834_c0_g1
Sym_3871_c0_g1_i1	Sym_3871_c0_g1
Sym_3819_c0_g1_i1	Sym_3819_c0_g1
Sym_3841_c0_g1_i1	Sym_3841_c0_g1
Sym_3885_c0_g1_i1	Sym_3885_c0_g1
Sym_3872_c0_g1_i1	Sym_3872_c0_g1
Sym_3811_c0_g1_i1	Sym_3811_c0_g1
Sym_71392_c0_g1_i1	Sym_71392_c0_g1
Sym_71349_c0_g1_i1	Sym_71349_c0_g1
Sym_71349_c0_g2_i1	Sym_71349_c0_g2
Sym_71322_c0_g1_i1	Sym_71322_c0_g1
Sym_71400_c0_g1_i1	Sym_71400_c0_g1
Sym_71331_c0_g1_i1	Sym_71331_c0_g1
Sym_71377_c0_g1_i1	Sym_71377_c0_g1
Sym_71377_c0_g1_i2	Sym_71377_c0_g1
Sym_78572_c0_g1_i1	Sym_78572_c0_g1
Sym_78552_c0_g1_i1	Sym_78552_c0_g1
Sym_78532_c0_g1_i1	Sym_78532_c0_g1
Sym_78532_c0_g2_i1	Sym_78532_c0_g2
Sym_78591_c0_g1_i3	Sym_78591_c0_g1
Sym_78615_c1_g1_i2	Sym_78615_c1_g1
Sym_78615_c0_g1_i1	Sym_78615_c0_g1
Sym_78531_c0_g1_i1	Sym_78531_c0_g1
Sym_78567_c0_g1_i3	Sym_78567_c0_g1
Sym_78583_c0_g1_i1	Sym_78583_c0_g1
Sym_78563_c0_g1_i1	Sym_78563_c0_g1
Sym_78568_c0_g1_i1	Sym_78568_c0_g1
Sym_62215_c0_g1_i1	Sym_62215_c0_g1
Sym_62236_c0_g1_i1	Sym_62236_c0_g1
Sym_62298_c0_g1_i1	Sym_62298_c0_g1
Sym_62300_c0_g1_i1	Sym_62300_c0_g1
Sym_62239_c0_g2_i1	Sym_62239_c0_g2
Sym_62270_c0_g1_i1	Sym_62270_c0_g1
Sym_62206_c0_g1_i1	Sym_62206_c0_g1
Sym_62265_c0_g1_i1	Sym_62265_c0_g1
Sym_62293_c0_g1_i1	Sym_62293_c0_g1
Sym_62273_c0_g1_i1	Sym_62273_c0_g1
Sym_62245_c0_g1_i1	Sym_62245_c0_g1
Sym_62238_c0_g2_i1	Sym_62238_c0_g2
Sym_62240_c0_g1_i1	Sym_62240_c0_g1
Sym_62257_c0_g1_i2	Sym_62257_c0_g1
Sym_62208_c0_g1_i3	Sym_62208_c0_g1
Sym_62290_c0_g1_i1	Sym_62290_c0_g1
Sym_62204_c0_g1_i1	Sym_62204_c0_g1
Sym_62226_c0_g1_i1	Sym_62226_c0_g1
Sym_62261_c0_g1_i1	Sym_62261_c0_g1
Sym_62274_c0_g1_i1	Sym_62274_c0_g1
Sym_62278_c0_g1_i1	Sym_62278_c0_g1
Sym_62253_c0_g1_i1	Sym_62253_c0_g1
Sym_62202_c0_g1_i1	Sym_62202_c0_g1
Sym_62221_c0_g1_i1	Sym_62221_c0_g1
Sym_62266_c0_g1_i1	Sym_62266_c0_g1
Sym_62281_c0_g1_i1	Sym_62281_c0_g1
Sym_62262_c0_g1_i2	Sym_62262_c0_g1
Sym_62260_c0_g1_i1	Sym_62260_c0_g1
Sym_62231_c0_g1_i1	Sym_62231_c0_g1
Sym_62255_c0_g1_i1	Sym_62255_c0_g1
Sym_62255_c0_g1_i2	Sym_62255_c0_g1
Sym_27947_c0_g1_i1	Sym_27947_c0_g1
Sym_27959_c0_g1_i3	Sym_27959_c0_g1
Sym_27956_c0_g1_i2	Sym_27956_c0_g1
Sym_27924_c0_g1_i1	Sym_27924_c0_g1
Sym_27908_c0_g1_i2	Sym_27908_c0_g1
Sym_27996_c0_g1_i1	Sym_27996_c0_g1
Sym_78654_c0_g1_i2	Sym_78654_c0_g1
Sym_78629_c0_g1_i1	Sym_78629_c0_g1
Sym_78663_c0_g1_i1	Sym_78663_c0_g1
Sym_78644_c0_g1_i1	Sym_78644_c0_g1
Sym_78644_c0_g2_i1	Sym_78644_c0_g2
Sym_78718_c0_g1_i1	Sym_78718_c0_g1
Sym_78718_c0_g2_i1	Sym_78718_c0_g2
Sym_78696_c0_g1_i2	Sym_78696_c0_g1
Sym_78719_c0_g1_i2	Sym_78719_c0_g1
Sym_78703_c0_g1_i1	Sym_78703_c0_g1
Sym_78705_c0_g1_i1	Sym_78705_c0_g1
Sym_78689_c0_g1_i1	Sym_78689_c0_g1
Sym_78712_c0_g1_i1	Sym_78712_c0_g1
Sym_96004_c0_g1_i2	Sym_96004_c0_g1
Sym_96004_c0_g2_i2	Sym_96004_c0_g2
Sym_96007_c0_g1_i1	Sym_96007_c0_g1
Sym_95934_c0_g1_i1	Sym_95934_c0_g1
Sym_95934_c0_g2_i1	Sym_95934_c0_g2
Sym_95999_c0_g1_i2	Sym_95999_c0_g1
Sym_95999_c0_g2_i1	Sym_95999_c0_g2
Sym_95975_c0_g1_i4	Sym_95975_c0_g1
Sym_96011_c0_g1_i3	Sym_96011_c0_g1
Sym_95946_c0_g2_i3	Sym_95946_c0_g2
Sym_95946_c0_g3_i1	Sym_95946_c0_g3
Sym_95937_c0_g1_i1	Sym_95937_c0_g1
Sym_95937_c0_g2_i1	Sym_95937_c0_g2
Sym_95982_c0_g1_i1	Sym_95982_c0_g1
Sym_95968_c0_g1_i1	Sym_95968_c0_g1
Sym_95968_c0_g2_i1	Sym_95968_c0_g2
Sym_95979_c0_g4_i1	Sym_95979_c0_g4
Sym_95979_c0_g2_i1	Sym_95979_c0_g2
Sym_95979_c0_g3_i1	Sym_95979_c0_g3
Sym_95947_c0_g1_i1	Sym_95947_c0_g1
Sym_95990_c0_g1_i1	Sym_95990_c0_g1
Sym_95990_c0_g1_i2	Sym_95990_c0_g1
Sym_95988_c0_g1_i1	Sym_95988_c0_g1
Sym_95939_c0_g1_i6	Sym_95939_c0_g1
Sym_95939_c0_g1_i2	Sym_95939_c0_g1
Sym_95939_c0_g1_i9	Sym_95939_c0_g1
Sym_95998_c0_g1_i1	Sym_95998_c0_g1
Sym_95981_c0_g1_i1	Sym_95981_c0_g1
Sym_95981_c0_g1_i2	Sym_95981_c0_g1
Sym_95981_c0_g1_i3	Sym_95981_c0_g1
Sym_2930_c0_g1_i1	Sym_2930_c0_g1
Sym_2912_c0_g2_i1	Sym_2912_c0_g2
Sym_2944_c0_g1_i1	Sym_2944_c0_g1
Sym_2920_c0_g1_i1	Sym_2920_c0_g1
Sym_2923_c0_g1_i1	Sym_2923_c0_g1
Sym_2933_c0_g1_i1	Sym_2933_c0_g1
Sym_53119_c0_g1_i1	Sym_53119_c0_g1
Sym_53131_c0_g1_i1	Sym_53131_c0_g1
Sym_53114_c0_g1_i1	Sym_53114_c0_g1
Sym_53172_c0_g1_i1	Sym_53172_c0_g1
Sym_53150_c0_g1_i1	Sym_53150_c0_g1
Sym_53139_c0_g1_i1	Sym_53139_c0_g1
Sym_53115_c0_g1_i1	Sym_53115_c0_g1
Sym_53155_c0_g1_i1	Sym_53155_c0_g1
Sym_53109_c0_g1_i2	Sym_53109_c0_g1
Sym_53107_c0_g1_i1	Sym_53107_c0_g1
Sym_53130_c0_g1_i1	Sym_53130_c0_g1
Sym_53110_c0_g1_i1	Sym_53110_c0_g1
Sym_53166_c0_g1_i1	Sym_53166_c0_g1
Sym_53106_c0_g1_i1	Sym_53106_c0_g1
Sym_69588_c0_g1_i1	Sym_69588_c0_g1
Sym_69574_c0_g1_i1	Sym_69574_c0_g1
Sym_69554_c0_g1_i1	Sym_69554_c0_g1
Sym_69537_c0_g1_i2	Sym_69537_c0_g1
Sym_69509_c0_g1_i1	Sym_69509_c0_g1
Sym_69519_c0_g1_i2	Sym_69519_c0_g1
