delta.rank	pval	level	nseqs	term	name	p.adj	goDivision
-3306	7.37760740894932e-4	2	25	GO:0042730	fibrinolysis	0.0304882954457957	BP
1795	7.43736926194827e-4	2	85	GO:2000045;GO:1902806	regulation of cell cycle G1/S phase transition	0.0304882954457957	BP
1363	7.4658126661117e-4	2	148	GO:0051656	establishment of organelle localization	0.0304882954457957	BP
692	7.79548867038572e-4	4	585	GO:0032880	regulation of protein localization	0.031463655821557	BP
778	7.88383175483205e-4	2	458	GO:0060271;GO:0044782;GO:0120031;GO:0030031	cell projection assembly	0.031463655821557	BP
-2660	8.19001485389996e-4	2	38	GO:0009060;GO:0045333	cellular respiration	0.0323183507493221	BP
999	8.43861887812339e-4	2	272	GO:0022412	cellular process involved in reproduction in multicellular organism	0.0329293661110771	BP
2882	8.76294582573506e-4	4	32	GO:0031122	cytoplasmic microtubule organization	0.0338191931208588	BP
1302	9.80386473302489e-4	4	155	GO:0033044	regulation of chromosome organization	0.0374251879808515	BP
2992	0.00100663686396416	4	29	GO:0097711	ciliary basal body-plasma membrane docking	0.0380140716800229	BP
1467	0.00102091090385528	2	121	GO:0099111	microtubule-based transport	0.0381429690887207	BP
4285	0.00105919216294223	5	14	GO:0007076	mitotic chromosome condensation	0.0391566618552959	BP
2619	0.00114738290352341	2	37	GO:0090307	mitotic spindle assembly	0.0419750912205647	BP
3854	0.00117592132840385	3	17	GO:0006376	mRNA splice site selection	0.0425756258283951	BP
1793	0.00124394203701908	2	78	GO:0043648	dicarboxylic acid metabolic process	0.0445788207552144	BP
461	0.00128263950764894	5	1262	GO:0045893;GO:1903508;GO:1902680;GO:0010557;GO:0031328;GO:0051254;GO:0009891;GO:0045935	positive regulation of biosynthetic process	0.0445843878030599	BP
2433	0.00129389303435998	2	42	GO:1903312	negative regulation of mRNA metabolic process	0.0445843878030599	BP
-1271	0.00129545213640225	5	155	GO:1903034	regulation of response to wounding	0.0445843878030599	BP
-2875	0.00130697425406297	2	30	GO:0019083	viral transcription	0.0445843878030599	BP
2105	0.00131416965983679	4	56	GO:0072331	signal transduction by p53 class mediator	0.0445843878030599	BP
4358	0.00133112085815735	2	13	GO:0071985	multivesicular body sorting pathway	0.0445843878030599	BP
1457	0.00133296148044456	2	117	GO:0018105;GO:0018209	peptidyl-serine modification	0.0445843878030599	BP
599	0.00136993539935862	2	714	GO:0007049	cell cycle	0.0450092186737504	BP
2155	0.00137129453248613	2	53	GO:0031058	positive regulation of histone modification	0.0450092186737504	BP
3892	0.00147641988596537	2	16	GO:0035909	aorta morphogenesis	0.0478240687766197	BP
395	0.00149745652736158	5	1723	GO:0010605;GO:0031324;GO:0051172	negative regulation of macromolecule metabolic process	0.0478240687766197	BP
509	0.00149790648218342	2	991	GO:0006357	regulation of transcription by RNA polymerase II	0.0478240687766197	BP
2621	0.0015496990387043	2	35	GO:0006182;GO:0046068	cGMP metabolic process	0.0488366598818672	BP
398	0.00155743334475203	2	1684	GO:0051128	regulation of cellular component organization	0.0488366598818672	BP
-2925	0.00158013772193076	4	28	GO:0042364;GO:0009110	vitamin biosynthetic process	0.048884184525739	BP
2543	0.00159296149622293	3	37	GO:1902017	regulation of cilium assembly	0.048884184525739	BP
-3456	0.00160070649785307	4	20	GO:0097021;GO:0072676;GO:0007497	lymphocyte migration	0.048884184525739	BP
855	0.00164718316959551	2	331	GO:0035239	tube morphogenesis	0.0498698904449951	BP
-1999	0.00189753379670489	3	58	GO:0015909;GO:0015908	fatty acid transport	0.0566532088267691	BP
-2648	0.00190349619634361	2	33	GO:1901072;GO:0006032;GO:0006030	chitin metabolic process	0.0566532088267691	BP
1417	0.00197388003519483	3	115	GO:1902115	regulation of organelle assembly	0.0582543418790273	BP
597	0.00200751645204576	2	668	GO:0044087	regulation of cellular component biogenesis	0.0587533148298726	BP
2004	0.00202761060947867	3	57	GO:0051225	spindle assembly	0.0588509790123065	BP
3006	0.0021514291712719	3	25	GO:0031571;GO:0044819	mitotic G1 DNA damage checkpoint signaling	0.0619329446680895	BP
1725	0.00217126460525583	3	76	GO:0043484	regulation of RNA splicing	0.0619957828752722	BP
1500	0.00225197231535435	3	100	GO:0010970;GO:0030705	cytoskeleton-dependent intracellular transport	0.0635504231244778	BP
-3524	0.00226190287316621	2	18	GO:0046632;GO:0046631	alpha-beta T cell activation	0.0635504231244778	BP
3419	0.00234006321219971	5	19	GO:0034471;GO:0000966	RNA 5'-end processing	0.0642408472388304	BP
2979	0.00235657367655359	4	25	GO:0071364;GO:0070849	response to epidermal growth factor	0.0642408472388304	BP
1770	0.00236505040166851	2	71	GO:1901992;GO:1901989	positive regulation of cell cycle phase transition	0.0642408472388304	BP
2173	0.00237071293558952	2	47	GO:2001252	positive regulation of chromosome organization	0.0642408472388304	BP
641	0.00237793568936445	5	556	GO:0018193	peptidyl-amino acid modification	0.0642408472388304	BP
-939	0.00249634521926583	2	252	GO:0051099	positive regulation of binding	0.0669249191607755	BP
-2576	0.00252433920900024	4	33	GO:0060291	long-term synaptic potentiation	0.0671627219849155	BP
3146	0.00258813182982749	2	22	GO:0043392	negative regulation of DNA binding	0.0683422480177003	BP
439	0.00271332895470492	2	1202	GO:0006928	movement of cell or subcellular component	0.07111351708152	BP
2165	0.0027371935123963	2	46	GO:0006997	nucleus organization	0.0712075823373023	BP
4623	0.00282754653396159	4	10	GO:0043485	endosome to pigment granule transport	0.0730172310828905	BP
1324	0.00290457257686443	3	122	GO:0110053	regulation of actin filament organization	0.0744588240142181	BP
-3421	0.00304003166191795	6	18	GO:0043248	proteasome assembly	0.076850628859554	BP
-3520	0.00304163935406549	6	17	GO:0019646	aerobic electron transport chain	0.076850628859554	BP
581	0.00307245593429565	3	646	GO:0045944	positive regulation of transcription by RNA polymerase II	0.077074751723188	BP
879	0.00320495435014222	4	274	GO:0051493	regulation of cytoskeleton organization	0.0798283665085069	BP
765	0.00325073049429408	2	362	GO:1903829	positive regulation of protein localization	0.0799167346225381	BP
2225	0.0032571719767459	2	42	GO:0043967	histone H4 acetylation	0.0799167346225381	BP
1613	0.00327676816219974	2	80	GO:0008360	regulation of cell shape	0.0799167346225381	BP
3140	0.00330703157155723	2	21	GO:0045022;GO:0098927	vesicle-mediated transport between endosomal compartments	0.0800073209789624	BP
4150	0.00332604466484297	4	12	GO:0110156;GO:0110154	methylguanosine-cap decapping	0.0800073209789624	BP
1321	0.00335209268261526	2	119	GO:0046474;GO:0045017	glycerolipid biosynthetic process	0.0800853707574476	BP
1618	0.00337861561705426	3	79	GO:0016573;GO:0018393;GO:0006475;GO:0018394	internal protein amino acid acetylation	0.0801736354533416	BP
576	0.00358961800921849	2	636	GO:0003006	developmental process involved in reproduction	0.0846089828750023	BP
-852	0.00363798284846059	4	284	GO:0034470	ncRNA processing	0.0851773050919573	BP
676	0.00367742814642342	2	455	GO:0007389	pattern specification process	0.0855306466903248	BP
-1310	0.00376248554834193	2	118	GO:0060122	inner ear receptor cell stereocilium organization	0.0869332187222162	BP
-4079	0.00390217487053821	2	12	GO:0006878;GO:0055070	copper ion homeostasis	0.0887880060107044	BP
-501	0.00391743033057287	3	837	GO:1901135	carbohydrate derivative metabolic process	0.0887880060107044	BP
3330	0.0039186050488779	2	18	GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	0.0887880060107044	BP
-2282	0.00409344993338282	3	38	GO:0022904;GO:0022900	electron transport chain	0.0921551036284645	BP
1729	0.00419003028287845	7	66	GO:0044773;GO:0044774	mitotic DNA integrity checkpoint signaling	0.0937285754998033	BP
2559	0.004223975967097	2	30	GO:0035082	axoneme assembly	0.0938898961800295	BP
3608	0.00432190531348893	5	15	GO:0043650	dicarboxylic acid biosynthetic process	0.0953329777033369	BP
2210	0.00434318805026592	5	40	GO:0006368;GO:0006354	DNA-templated transcription, elongation	0.0953329777033369	BP
1600	0.00447388679844633	4	76	GO:0002244	hematopoietic progenitor cell differentiation	0.0971396000623479	BP
633	0.00448654805609542	3	498	GO:0006281	DNA repair	0.0971396000623479	BP
1360	0.0045307432143054	4	105	GO:0042770;GO:0000077;GO:0031570	signal transduction in response to DNA damage	0.0971396000623479	BP
930	0.00453613166578162	3	226	GO:0045787	positive regulation of cell cycle	0.0971396000623479	BP
-502	0.00462929594704745	3	799	GO:0006952	defense response	0.0985338628244282	BP
1581	0.00467726281089619	5	77	GO:0030833;GO:0008064;GO:0030832	regulation of actin polymerization or depolymerization	0.098841436668508	BP
-1007	0.00470003414682256	2	191	GO:0006364;GO:0016072	rRNA metabolic process	0.098841436668508	BP
3829	0.00481397270612115	4	13	GO:0007020	microtubule nucleation	0.100634953237485	BP
-4149	0.00494068022536351	3	11	GO:0042454	ribonucleoside catabolic process	0.102672597346016	BP
375	0.00498950091847655	3	1473	GO:0008104;GO:0033036	macromolecule localization	0.103077218974645	BP
1106	0.00509928256194756	2	155	GO:0006650	glycerophospholipid metabolic process	0.104729124898011	BP
4126	0.00518637870066712	2	11	GO:0031440	regulation of mRNA 3'-end processing	0.105281545252484	BP
563	0.00518877182630453	3	613	GO:0007346	regulation of mitotic cell cycle	0.105281545252484	BP
3793	0.00521611300510597	2	13	GO:0008608	attachment of spindle microtubules to kinetochore	0.105281545252484	BP
1503	0.00526147290406786	6	83	GO:0032271	regulation of protein polymerization	0.105590244794779	BP
-2674	0.00537112888227329	2	26	GO:0032981;GO:0010257	mitochondrial respiratory chain complex I assembly	0.107178435423544	BP
-3042	0.00546706482607254	2	20	GO:0006754	ATP biosynthetic process	0.108476450108287	BP
-1983	0.00555060014821976	2	47	GO:0072599;GO:0070972	protein localization to endoplasmic reticulum	0.10951521191319	BP
884	0.00586593844967601	2	236	GO:0016050	vesicle organization	0.115090367794761	BP
667	0.00594437668711078	2	418	GO:0051223;GO:0070201	regulation of establishment of protein localization	0.115981394028517	BP
-1857	0.00629708980825421	4	52	GO:0006027	glycosaminoglycan catabolic process	0.122153830526154	BP
518	0.00633029531769931	2	693	GO:0051301	cell division	0.122153830526154	BP
-807	0.00661380652990657	4	276	GO:0006954	inflammatory response	0.126927259743344	BP
1350	0.00673773519727331	2	97	GO:0010921;GO:0035303	regulation of dephosphorylation	0.128602858765347	BP
-2698	0.00697172621032425	6	24	GO:0009119	ribonucleoside metabolic process	0.131719464973571	BP
417	0.00697603088983035	2	1068	GO:0006259	DNA metabolic process	0.131719464973571	BP
1466	0.00717423805492386	4	81	GO:0048514	blood vessel morphogenesis	0.134469182996767	BP
-2404	0.00720034165150791	3	30	GO:1901661	quinone metabolic process	0.134469182996767	BP
-1230	0.00723652493917682	2	115	GO:0050805	negative regulation of synaptic transmission	0.134469182996767	BP
2078	0.00732851769111241	2	40	GO:0034331;GO:0043954	cellular component maintenance	0.134929565869246	BP
2131	0.0073539761617476	2	38	GO:0038127;GO:0007173	ERBB signaling pathway	0.134929565869246	BP
2679	0.00737655940970822	2	24	GO:0090169	regulation of spindle assembly	0.134929565869246	BP
816	0.00753399108104708	2	261	GO:0051222;GO:1904951	positive regulation of establishment of protein localization	0.137038437371961	BP
3495	0.00756989090266527	4	14	GO:0005978	glycogen biosynthetic process	0.137038437371961	BP
3160	0.00780190226153014	2	17	GO:0048667	cell morphogenesis involved in neuron differentiation	0.139836714380389	BP
560	0.00780409909412196	2	560	GO:0009887	animal organ morphogenesis	0.139836714380389	BP
1255	0.00791018306937024	2	108	GO:0050680	negative regulation of epithelial cell proliferation	0.141018085987961	BP
1193	0.00808232253205614	4	119	GO:0050920	regulation of chemotaxis	0.143359175417077	BP
-424	0.00814658099171467	3	990	GO:0043207;GO:0009607;GO:0044419	response to biotic stimulus	0.143772826346241	BP
1448	0.00827203911990487	2	80	GO:0034754	cellular hormone metabolic process	0.144153683484069	BP
2361	0.00830205721257754	2	30	GO:0072332	intrinsic apoptotic signaling pathway by p53 class mediator	0.144153683484069	BP
1466	0.00832368619421936	2	78	GO:0019751	polyol metabolic process	0.144153683484069	BP
362	0.00835152992057347	3	1384	GO:0001932;GO:0031399;GO:0042325;GO:0019220;GO:0051174	regulation of protein modification process	0.144153683484069	BP
-1616	0.00837949327734313	2	64	GO:0048265	response to pain	0.144153683484069	BP
951	0.0084144376748958	2	186	GO:0045930;GO:1901988	negative regulation of cell cycle phase transition	0.144153683484069	BP
753	0.00849087397289206	2	298	GO:0003002	regionalization	0.144757035887364	BP
1139	0.00873973415649651	2	128	GO:0007281	germ cell development	0.148279934094762	BP
1165	0.00882669749180953	2	122	GO:0019932	second-messenger-mediated signaling	0.149035392265553	BP
881	0.00889470535086989	2	214	GO:0050678	regulation of epithelial cell proliferation	0.149465096613661	BP
3689	0.00905385075451479	6	12	GO:0043252	sodium-independent organic anion transport	0.151414875475505	BP
2295	0.00909705629070221	7	31	GO:0051496;GO:0032233	positive regulation of actin filament bundle assembly	0.151416406127707	BP
3531	0.0093220674490456	2	13	GO:0006103	2-oxoglutarate metabolic process	0.153338854725857	BP
-1802	0.00933693264466182	2	50	GO:0001755	neural crest cell migration	0.153338854725857	BP
3401	0.0093435406922931109	2	14	GO:0010971;GO:1902751	positive regulation of cell cycle G2/M phase transition	0.153338854725857	BP
-1763	0.0094905841357197	2	52	GO:0042551	neuron maturation	0.154354180772112	BP
-825	0.00953623842980037	2	240	GO:2000116;GO:0052548;GO:0052547;GO:0043281	regulation of peptidase activity	0.154354180772112	BP
4013	0.00953726003062309	5	10	GO:0021904	dorsal/ventral neural tube patterning	0.154354180772112	BP
1456	0.00965938320812424	4	76	GO:0006352	DNA-templated transcription, initiation	0.155421590141316	BP
1911	0.00969172216427911	2	44	GO:0007286	spermatid development	0.155421590141316	BP
3376	0.00988024072492277	2	14	GO:0048665	neuron fate specification	0.157637335996146	BP
2477	0.00991966151911965	3	26	GO:0021515	cell differentiation in spinal cord	0.157637335996146	BP
1458	0.0105677826026256	2	74	GO:0007059	chromosome segregation	0.167180416668564	BP
902	0.0107393378884264	4	194	GO:0007420	brain development	0.169132532126249	BP
3750	0.0110780391157457	2	11	GO:0006656	phosphatidylcholine biosynthetic process	0.173687827564727	BP
2484	0.0112289813916027	2	25	GO:0006541	glutamine metabolic process	0.175271922876927	BP
2434	0.0112986390020728	4	26	GO:0021591	ventricular system development	0.175578850333096	BP
-890	0.0115703216390198	2	195	GO:0030203;GO:0006022	aminoglycan metabolic process	0.179008676635408	BP
-1225	0.011699593667168	6	102	GO:0061041	regulation of wound healing	0.180214793680237	BP
2413	0.0120147684604568	2	26	GO:0035019	somatic stem cell population maintenance	0.184261427218883	BP
1093	0.0121823335133852	2	127	GO:0031669	cellular response to nutrient levels	0.185994992927125	BP
2319	0.0122337253320518	5	28	GO:0030834	regulation of actin filament depolymerization	0.185994992927125	BP
3157	0.0125112680365205	2	15	GO:0035735	intraciliary transport involved in cilium assembly	0.188680770298033	BP
1251	0.0125178301479048	3	96	GO:0042733	embryonic digit morphogenesis	0.188680770298033	BP
-1646	0.0127527512184365	2	55	GO:0046034	ATP metabolic process	0.191104668924275	BP
-3517	0.0128400096729958	3	12	GO:0060563	neuroepithelial cell differentiation	0.191104668924275	BP
3672	0.0128674664052898	2	11	GO:1904262	negative regulation of TORC1 signaling	0.191104668924275	BP
-2794	0.0128963002662452	2	19	GO:0030207	chondroitin sulfate catabolic process	0.191104668924275	BP
-1426	0.0130234158134926	3	73	GO:0006687	glycosphingolipid metabolic process	0.192177463600782	BP
1103	0.013143449789875	3	122	GO:0016197	endosomal transport	0.193137220343268	BP
2023	0.0132562457617608	2	36	GO:0048524	positive regulation of viral process	0.193924689236056	BP
1267	0.0133074744037271	3	92	GO:0140056;GO:0022406	membrane docking	0.193924689236056	BP
2077	0.013422013734715	6	34	GO:0030330	DNA damage response, signal transduction by p53 class mediator	0.193992033985765	BP
-1174	0.0134225695496984	2	107	GO:0006605	protein targeting	0.193992033985765	BP
865	0.0138991974471524	2	196	GO:0006260	DNA replication	0.200057300960653	BP
-3469	0.0141224964918824	4	12	GO:1902570	protein localization to nucleolus	0.202383403839658	BP
1684	0.0141760584694066	3	51	GO:0043171	peptide catabolic process	0.202383403839658	BP
837	0.0142959799241174	4	208	GO:0046486	glycerolipid metabolic process	0.203269155844131	BP
3095	0.0143541285045728	5	15	GO:0009437	carnitine metabolic process	0.203272981080886	BP
1549	0.014412341862077	4	60	GO:0007224	smoothened signaling pathway	0.203277689235399	BP
2492	0.0146634989809644	2	23	GO:2000104	negative regulation of DNA-dependent DNA replication	0.205068802792237	BP
-3778	0.0146911527524847	2	10	GO:0051045	negative regulation of membrane protein ectodomain proteolysis	0.205068802792237	BP
1689	0.0148507352394769	2	50	GO:0042147	retrograde transport, endosome to Golgi	0.205068802792237	BP
-1370	0.014887727610206	2	76	GO:0030193;GO:0050818;GO:1900046	regulation of coagulation	0.205068802792237	BP
1470	0.0149119356156903	2	66	GO:0048588	developmental cell growth	0.205068802792237	BP
-1528	0.0149266033886859	2	61	GO:0009141	nucleoside triphosphate metabolic process	0.205068802792237	BP
-1722	0.0149480676295025	3	48	GO:0009199;GO:0009205;GO:0009144	purine nucleoside triphosphate metabolic process	0.205068802792237	BP
2247	0.0152315958802423	6	28	GO:0061028;GO:0090557	establishment of endothelial barrier	0.208145388059965	BP
-1903	0.0152992143334867	3	39	GO:0043094	cellular metabolic compound salvage	0.208259072632579	BP
2530	0.015396360353723	6	22	GO:0051693;GO:0030835	negative regulation of actin filament depolymerization	0.208772268580213	BP
1303	0.0155709690954647	2	83	GO:0070507	regulation of microtubule cytoskeleton organization	0.210327859474123	BP
-1849	0.0156821369832196	4	41	GO:0009142	nucleoside triphosphate biosynthetic process	0.211017873889146	BP
1943	0.0158589334570505	2	37	GO:0030261;GO:0006323	DNA packaging	0.21178581893171	BP
1672	0.0158598150282004	3	50	GO:0048675;GO:1990138	neuron projection extension	0.21178581893171	BP
1686	0.0160369853663808	5	49	GO:0021953	central nervous system neuron differentiation	0.213340502298217	BP
-470	0.0162665056164265	3	651	GO:0098542;GO:0051707	response to other organism	0.214773160724166	BP
3547	0.0162669876858281	5	11	GO:0003222	ventricular trabecula myocardium morphogenesis	0.214773160724166	BP
1712	0.0166216108445248	2	47	GO:0006367	transcription initiation from RNA polymerase II promoter	0.218633323168431	BP
2841	0.0167723229813507	8	17	GO:0043968	histone H2A acetylation	0.219792531009342	BP
2757	0.0168950930904391	5	18	GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress	0.220578315738372	BP
1871	0.0170823741145785	2	39	GO:0006306;GO:0006305;GO:0044728	DNA methylation or demethylation	0.221495125411132	BP
-1408	0.0170914518754034	3	69	GO:0002224	toll-like receptor signaling pathway	0.221495125411132	BP
3513	0.0173325660972819	3	11	GO:0010676	positive regulation of cellular carbohydrate metabolic process	0.223794015197257	BP
1062	0.0174161086533523	4	121	GO:0009267;GO:0042594	response to starvation	0.224048987511257	BP
-1736	0.0175188750425925	2	45	GO:0009311	oligosaccharide metabolic process	0.22454850054593	BP
1697	0.0176026028306356	3	47	GO:0003007	heart morphogenesis	0.224801240513426	BP
