delta.rank	pval	level	nseqs	term	name	p.adj	goDivision
-1086	6.23045322018324e-6	2	425	GO:0098609	cell-cell adhesion	4.37627034185671e-4	BP
1072	7.03589616263783e-6	2	431	GO:0016071	mRNA metabolic process	4.78180536631823e-4	BP
-1646	7.08012184079009e-6	2	180	GO:0050770	regulation of axonogenesis	4.78180536631823e-4	BP
2569	7.54309049599039e-6	2	73	GO:0007059	chromosome segregation	4.98234140783888e-4	BP
-4140	7.6607755131919e-6	2	28	GO:0098581;GO:0009595	detection of biotic stimulus	4.98234140783888e-4	BP
4062	7.89508337316063e-6	4	29	GO:0097711	ciliary basal body-plasma membrane docking	5.04136960118911e-4	BP
-683	8.37325113267857e-6	2	1088	GO:2000026	regulation of multicellular organismal development	5.18899686319393e-4	BP
-2610	8.42177736907899e-6	7	70	GO:2000095;GO:2000050	regulation of non-canonical Wnt signaling pathway	5.18899686319393e-4	BP
-672	8.71403521422702e-6	2	1124	GO:1901698;GO:0010243	response to nitrogen compound	5.27649856420091e-4	BP
1324	1.10411579190242e-5	3	268	GO:0007018	microtubule-based movement	6.57229603586661e-4	BP
-1525	1.29048092557646e-5	3	198	GO:0032535	regulation of cellular component size	7.55361501770755e-4	BP
4316	1.57005367466595e-5	2	24	GO:0006270	DNA replication initiation	9.03939099250298e-4	BP
786	1.74680210469029e-5	2	747	GO:0045892;GO:1903507;GO:1902679;GO:0051253;GO:0045934	negative regulation of nucleobase-containing compound metabolic process	9.89478869624564e-4	BP
-1744	1.79960295583479e-5	3	146	GO:0071695;GO:0021700	developmental maturation	0.00100315876706683	BP
1506	1.82807975775277e-5	2	196	GO:0018205	peptidyl-lysine modification	0.00100315876706683	BP
2895	2.03771529435756e-5	2	52	GO:0007062	sister chromatid cohesion	0.00108432932085998	BP
-850	2.0377487237118e-5	2	624	GO:1901701	cellular response to oxygen-containing compound	0.00108432932085998	BP
-2889	2.12661949157248e-5	2	52	GO:0042551	neuron maturation	0.0011147295006571	BP
-5538	2.29517029879132e-5	3	14	GO:0016045;GO:0098543	detection of bacterium	0.00118538795431693	BP
-1492	2.53574902880587e-5	3	193	GO:0035148	tube formation	0.00129065950567626	BP
1806	2.75936275182455e-5	3	130	GO:0006399	tRNA metabolic process	0.00138441171205826	BP
-805	3.06065891906141e-5	2	668	GO:0044087	regulation of cellular component biogenesis	0.00149333408342647	BP
-6151	3.06150495463285e-5	2	11	GO:0070269	pyroptosis	0.00149333408342647	BP
-1779	3.38241043818228e-5	5	131	GO:0072073	kidney epithelium development	0.00162726376149263	BP
-1226	3.43460245793096e-5	2	278	GO:0071396	cellular response to lipid	0.00163004376111534	BP
-591	3.70897197193273e-5	2	1261	GO:0051240	positive regulation of multicellular organismal process	0.00173678794205703	BP
-781	4.38899103302463e-5	4	683	GO:0032940;GO:0046903;GO:0140352	secretion	0.00202817585631349	BP
3983	4.74411812170584e-5	2	25	GO:0006541	glutamine metabolic process	0.00216381075888713	BP
2185	4.94555564975991e-5	-1	83	GO:0016569	obsolete covalent chromatin modification	0.00222676813358421	BP
-1562	5.24230946881476e-5	2	162	GO:0060562	epithelial tube morphogenesis	0.00233050517145284	BP
-1091	5.86450945636029e-5	2	331	GO:0035239	tube morphogenesis	0.00257451965134217	BP
2535	6.15776682187122e-5	6	60	GO:0016571	histone methylation	0.00265021126777665	BP
-1892	6.18785090995687e-5	2	108	GO:0001959;GO:0060759	regulation of response to cytokine stimulus	0.00265021126777665	BP
912	6.44779396677517e-5	2	473	GO:0006310	DNA recombination	0.00272827137485716	BP
-974	6.68524382247218e-5	3	411	GO:0051960	regulation of nervous system development	0.00276703215956961	BP
5215	6.6969741903023e-5	4	14	GO:0007064	mitotic sister chromatid cohesion	0.00276703215956961	BP
-865	7.02834125929386e-5	4	521	GO:0030155	regulation of cell adhesion	0.00287017843053954	BP
-2138	7.89683206448137e-5	4	82	GO:0051494;GO:1902904	negative regulation of cytoskeleton organization	0.0031877786448803	BP
-844	8.79554720019159e-5	2	533	GO:0033993	response to lipid	0.00349218812047465	BP
1132	8.84979335769488e-5	3	292	GO:0007276;GO:0007283;GO:0048232	gamete generation	0.00349218812047465	BP
-3495	9.26124764953757e-5	2	30	GO:0060334;GO:0060330	regulation of interferon-gamma-mediated signaling pathway	0.00361394463835288	BP
1169	1.03667407005828e-4	2	268	GO:0008380	RNA splicing	0.00400087838906009	BP
2953	1.13509368516187e-4	3	41	GO:0034968	histone lysine methylation	0.00430197948658277	BP
-553	1.14184785425181e-4	3	1256	GO:0042981;GO:0043067;GO:0010941	regulation of cell death	0.00430197948658277	BP
-953	1.15144097875507e-4	2	401	GO:0060284	regulation of cell development	0.00430197948658277	BP
1682	1.20780769672761e-4	4	126	GO:0007093;GO:0000075	cell cycle checkpoint signaling	0.00446507434832354	BP
2828	1.28179548769444e-4	2	44	GO:0030490	maturation of SSU-rRNA	0.00468923515914883	BP
2397	1.3345426508759e-4	5	61	GO:0009141	nucleoside triphosphate metabolic process	0.00483186988647027	BP
3304	1.35360116713502e-4	3	32	GO:0098813	nuclear chromosome segregation	0.00485086459079407	BP
-1168	1.37006787138824e-4	2	259	GO:0007411;GO:0097485	neuron projection guidance	0.00486028117607626	BP
3106	1.41540290330479e-4	2	36	GO:0009262	deoxyribonucleotide metabolic process	0.00497089499640642	BP
2023	1.43124053722369e-4	2	85	GO:0051783;GO:0007088	regulation of nuclear division	0.0049767492739897	BP
-2603	1.47882810397997e-4	5	51	GO:0016525;GO:2000181;GO:1901343	negative regulation of blood vessel morphogenesis	0.00509180813840947	BP
4031	1.61077327577827e-4	5	21	GO:0007094;GO:0045841;GO:0071173;GO:0071174;GO:1902100;GO:2000816;GO:0031577;GO:0033048;GO:1905819;GO:0033046;GO:0051985	spindle checkpoint signaling	0.00549226771313911	BP
-756	1.67622051972987e-4	4	616	GO:0050776	regulation of immune response	0.00566046775508779	BP
-2267	1.71526617627794e-4	2	66	GO:0001960;GO:0060761	negative regulation of response to cytokine stimulus	0.00573715696294107	BP
1628	1.87192631697085e-4	9	127	GO:0000398;GO:0000377;GO:0000375	RNA splicing, via transesterification reactions	0.00620208040113361	BP
2414	1.99955018750797e-4	3	57	GO:0061982	meiosis I cell cycle process	0.00656300958740934	BP
2453	2.05761171287089e-4	2	55	GO:0090501	RNA phosphodiester bond hydrolysis	0.00669104845889127	BP
3429	2.11076324772468e-4	3	28	GO:0045910	negative regulation of DNA recombination	0.00669706975793292	BP
3556	2.12623091494519e-4	3	26	GO:0000469	cleavage involved in rRNA processing	0.00669706975793292	BP
4843	2.13510596281203e-4	3	14	GO:0007129	homologous chromosome pairing at meiosis	0.00669706975793292	BP
-936	2.13573978612895e-4	2	383	GO:0045055;GO:0006887	exocytosis	0.00669706975793292	BP
-657	2.55457784181836e-4	2	778	GO:0030334;GO:2000145;GO:0040012;GO:0051270	regulation of locomotion	0.00793953750483724	BP
-772	2.61183490869334e-4	6	553	GO:0120035;GO:0031344	regulation of cell projection organization	0.00804628438537808	BP
2552	2.65530338921137e-4	2	49	GO:0031497;GO:0006333	chromatin assembly or disassembly	0.00810906565470464	BP
1719	2.73043799947802e-4	4	108	GO:0003341	cilium movement	0.00826663642600587	BP
-2229	2.75503699087818e-4	3	64	GO:0048265	response to pain	0.00826982043757621	BP
-1621	2.81784224009901e-4	3	121	GO:0071219;GO:0071216	cellular response to biotic stimulus	0.00838666266714214	BP
3091	2.88322479135763e-4	5	33	GO:0006220;GO:0006221	pyrimidine nucleotide metabolic process	0.00850914745146891	BP
-884	3.00013744176272e-4	2	410	GO:0048589;GO:0040007	growth	0.00878040224622556	BP
-1344	3.11607779609316e-4	2	174	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	0.00904435142138775	BP
-4155	3.16853227879467e-4	2	18	GO:2000167	regulation of planar cell polarity pathway involved in neural tube closure	0.00906637382268437	BP
4154	3.17529607115654e-4	2	18	GO:0045911	positive regulation of DNA recombination	0.00906637382268437	BP
3063	3.26267671797369e-4	3	33	GO:0035825	homologous recombination	0.0092200995090237	BP
-1223	3.28164134005684e-4	2	209	GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	0.0092200995090237	BP
-1864	3.37181993294372e-4	2	89	GO:0003143	embryonic heart tube morphogenesis	0.00932981297042547	BP
-642	3.37382188850807e-4	4	782	GO:0051241	negative regulation of multicellular organismal process	0.00932981297042547	BP
-5284	3.42287456170666e-4	4	11	GO:1903543;GO:1903541	regulation of exosomal secretion	0.00939151207868265	BP
-450	3.45565024312456e-4	4	1684	GO:0051128	regulation of cellular component organization	0.00940794081694066	BP
556	3.63454696221364e-4	1	1051	GO:0022414	reproductive process	0.00981886840868793	BP
-992	3.86429866229928e-4	4	312	GO:0002831	regulation of response to biotic stimulus	0.0103598602305306	BP
1994	3.91760692635028e-4	2	76	GO:0043484	regulation of RNA splicing	0.0104232087313198	BP
-825	3.95574876788311e-4	2	454	GO:0030335;GO:2000147;GO:0040017;GO:0051272	positive regulation of locomotion	0.0104455561449665	BP
-626	4.14578573658552e-4	4	798	GO:0032101	regulation of response to external stimulus	0.0108291608277898	BP
2397	4.17923760507044e-4	2	52	GO:0030071;GO:0010965;GO:1902099;GO:1905818;GO:0051983;GO:0033045	regulation of chromosome segregation	0.0108291608277898	BP
-1201	4.20682684428428e-4	4	209	GO:0034976	response to endoplasmic reticulum stress	0.0108291608277898	BP
4453	4.25944297427206e-4	2	15	GO:0007007	inner mitochondrial membrane organization	0.0108291608277898	BP
4063	4.29532295329445e-4	5	18	GO:0000070;GO:0000819	sister chromatid segregation	0.0108291608277898	BP
-866	4.29647247077197e-4	2	405	GO:0010975	regulation of neuron projection development	0.0108291608277898	BP
-495	4.31686365572486e-4	2	1314	GO:0009967;GO:0010647;GO:0023056	positive regulation of cell communication	0.0108291608277898	BP
2292	4.66182865740633e-4	2	56	GO:0018022	peptidyl-lysine methylation	0.0115893771541498	BP
-2424	4.68590989717902e-4	5	50	GO:0001755	neural crest cell migration	0.0115893771541498	BP
-3293	4.74981668563208e-4	4	27	GO:0051969	regulation of transmission of nerve impulse	0.0116018299282779	BP
-1127	4.77857317941364e-4	2	233	GO:0042742;GO:0009617	response to bacterium	0.0116018299282779	BP
1050	4.79004937243819e-4	3	269	GO:0051052	regulation of DNA metabolic process	0.0116018299282779	BP
-1639	4.91170620190625e-4	2	109	GO:0030433;GO:0036503	ERAD pathway	0.0118150083432156	BP
3906	5.05468207774349e-4	3	19	GO:0006369	termination of RNA polymerase II transcription	0.0120762200387994	BP
-2691	5.12072058843193e-4	2	40	GO:0034331;GO:0043954	cellular component maintenance	0.0120877476554399	BP
-1310	5.12834396543434e-4	5	170	GO:1902903	regulation of supramolecular fiber organization	0.0120877476554399	BP
2251	5.25311221916428e-4	2	57	GO:0001539;GO:0060285	cilium or flagellum-dependent cell motility	0.0122631072350675	BP
-990	5.27257742737809e-4	2	299	GO:0001525	angiogenesis	0.0122631072350675	BP
-2997	5.35841435859134e-4	3	32	GO:0045197;GO:0035088;GO:0061245	establishment or maintenance of bipolar cell polarity	0.0123387473550152	BP
-1164	5.40228996185933e-4	5	214	GO:0050678	regulation of epithelial cell proliferation	0.0123387473550152	BP
2995	5.41049855544518e-4	2	32	GO:0042254	ribosome biogenesis	0.0123387473550152	BP
2418	5.49243698074867e-4	2	49	GO:0010972;GO:1902750	negative regulation of cell cycle G2/M phase transition	0.0124447991460576	BP
-1045	5.57789077698077e-4	2	265	GO:0045785	positive regulation of cell adhesion	0.0125574053902285	BP
2457	5.85228216830564e-4	3	47	GO:0031023	microtubule organizing center organization	0.0130912197293563	BP
5307	6.05491495445279e-4	4	10	GO:1904872	regulation of telomerase RNA localization to Cajal body	0.0133768992385658	BP
1892	6.05617021335982e-4	7	79	GO:0016573;GO:0018393;GO:0006475;GO:0018394	internal protein amino acid acetylation	0.0133768992385658	BP
2303	6.23818396221464e-4	2	53	GO:0048024	regulation of mRNA splicing, via spliceosome	0.0136732024675554	BP
1350	6.26818222459117e-4	2	155	GO:0033044	regulation of chromosome organization	0.0136732024675554	BP
-1710	6.35955984495959e-4	2	96	GO:0048469	cell maturation	0.0137868976391963	BP
-2339	6.50107188386197e-4	3	51	GO:0033630;GO:0033628	regulation of cell adhesion mediated by integrin	0.0140072174577443	BP
-474	6.72648522044218e-4	5	1335	GO:1902531	regulation of intracellular signal transduction	0.0143615973824428	BP
1402	6.74733362216135e-4	2	142	GO:0140694	non-membrane-bounded organelle assembly	0.0143615973824428	BP
2352	6.86420421229023e-4	2	50	GO:0006400	tRNA modification	0.0145223404780502	BP
-4438	6.91737365416104e-4	2	14	GO:0045806	negative regulation of endocytosis	0.0145471953733015	BP
-2694	6.96493669356289e-4	3	38	GO:0038083	peptidyl-tyrosine autophosphorylation	0.0145600343260672	BP
1274	7.01665873622305e-4	2	171	GO:0006302	double-strand break repair	0.0145813641903049	BP
-2523	7.29692444286065e-4	3	43	GO:0001961;GO:0060760	positive regulation of response to cytokine stimulus	0.0150745874372509	BP
1088	7.66762517124237e-4	5	232	GO:0016570	histone modification	0.0157477775446802	BP
-1538	8.24390141655545e-4	5	114	GO:0001843;GO:0060606	tube closure	0.0168059002421171	BP
1398	8.27996033411872e-4	2	138	GO:0090305	nucleic acid phosphodiester bond hydrolysis	0.0168059002421171	BP
-1146	8.32638565526303e-4	4	206	GO:0001822	kidney development	0.0168059002421171	BP
2759	8.58457666654282e-4	2	35	GO:0006165;GO:0009132;GO:0046939	nucleoside diphosphate metabolic process	0.0172280190016562	BP
-1583	9.47297135209491e-4	5	105	GO:0060026	convergent extension	0.0189028837434985	BP
2121	9.79395635358847e-4	4	58	GO:0000018	regulation of DNA recombination	0.0194329800642953	BP
-2807	9.93660008937641e-4	4	33	GO:0060993	kidney morphogenesis	0.0196052469179157	BP
1673	0.00100524048178719	2	93	GO:0071897	DNA biosynthetic process	0.0197229305700369	BP
1780	0.00101545801512226	2	82	GO:2001251	negative regulation of chromosome organization	0.0198127141617188	BP
1706	0.00103536861052337	8	89	GO:0008033	tRNA processing	0.0200895832052932	BP
-2499	0.00108803094221102	7	41	GO:0048013	ephrin receptor signaling pathway	0.0209954102694786	BP
-1666	0.00112585770439148	2	92	GO:1901216	positive regulation of neuron death	0.0215811873600283	BP
-1867	0.00113741968508201	2	73	GO:0001838;GO:0072175	epithelial tube formation	0.0215811873600283	BP
-1209	0.00114268087054953	5	175	GO:0045765;GO:1901342	regulation of vasculature development	0.0215811873600283	BP
-1331	0.00114595236222536	7	144	GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	0.0215811873600283	BP
-1075	0.00114911219713135	3	222	GO:0007399	nervous system development	0.0215811873600283	BP
-1096	0.00115885844021098	9	213	GO:0051865	protein autoubiquitination	0.0216484619256434	BP
-911	0.00121010940967582	2	308	GO:1903532;GO:0051047	positive regulation of secretion	0.0224862658559867	BP
-1613	0.00127816110476798	2	96	GO:0071300;GO:0032526	response to retinoic acid	0.0233918629760242	BP
-1788	0.00128038307406919	2	78	GO:0006026	aminoglycan catabolic process	0.0233918629760242	BP
-2021	0.00128220426705529	5	61	GO:0001656	metanephros development	0.0233918629760242	BP
-1236	0.00128548677516306	4	164	GO:0048666	neuron development	0.0233918629760242	BP
2977	0.00129327008458794	2	28	GO:0007098	centrosome cycle	0.023412188335427	BP
2297	0.00130822186797647	4	47	GO:2001252	positive regulation of chromosome organization	0.0234424976362583	BP
676	0.00130829428721715	3	559	GO:1903047	mitotic cell cycle process	0.0234424976362583	BP
2457	0.00131962768979802	2	41	GO:0009142	nucleoside triphosphate biosynthetic process	0.0234428299597202	BP
1433	0.00132166296469949	2	121	GO:0051053	negative regulation of DNA metabolic process	0.0234428299597202	BP
-2317	0.00133490890408599	4	46	GO:0002011	morphogenesis of an epithelial sheet	0.0235587943273869	BP
-1130	0.00134362982419204	2	195	GO:0001667	ameboidal-type cell migration	0.0235941397128122	BP
-453	0.00138133956220517	2	1289	GO:0016192	vesicle-mediated transport	0.0241346613248457	BP
1476	0.00138815534954978	2	113	GO:0009411	response to UV	0.0241346613248457	BP
-1729	0.00141303788292972	4	82	GO:0071222	cellular response to lipopolysaccharide	0.024446251452459	BP
2500	0.00143712265499343	7	39	GO:0006306;GO:0006305;GO:0044728	DNA methylation or demethylation	0.0247410527663575	BP
2249	0.00146712320408759	2	48	GO:0009199;GO:0009205;GO:0009144	purine nucleoside triphosphate metabolic process	0.0251343253305152	BP
-4687	0.00149000336604642	4	11	GO:0036120;GO:0036119	response to platelet-derived growth factor	0.0254023874832768	BP
-3312	0.00150709724977227	3	22	GO:0051693;GO:0030835	negative regulation of actin filament depolymerization	0.0255696886048319	BP
-1147	0.00152196303491151	7	185	GO:0046578;GO:0051056	regulation of small GTPase mediated signal transduction	0.0256977604740828	BP
-473	0.00153781391381933	4	1154	GO:0045595	regulation of cell differentiation	0.0258411601212129	BP
-1636	0.00155768352873609	3	90	GO:0031333	negative regulation of protein-containing complex assembly	0.0260504026329578	BP
2069	0.00158335321597815	2	56	GO:0010923;GO:0035305	negative regulation of dephosphorylation	0.0263542013958069	BP
4280	0.00161689243518337	4	13	GO:0045724	positive regulation of cilium assembly	0.0267855010960566	BP
767	0.00163682034859747	2	414	GO:0048609	multicellular organismal reproductive process	0.0269879477304562	BP
-1255	0.00164448200863258	2	152	GO:0042445	hormone metabolic process	0.0269879477304562	BP
4266	0.00167208420188053	2	13	GO:0010833;GO:0007004	telomere maintenance via telomere lengthening	0.0273133010093229	BP
1394	0.0017128293498052	3	122	GO:0051054	positive regulation of DNA metabolic process	0.0278493364653512	BP
-449	0.00178361208184947	2	1249	GO:0051049	regulation of transport	0.0288665697302089	BP
-1661	0.0017995003580964	2	85	GO:0001657;GO:0072164;GO:0072163	mesonephric epithelium development	0.028990115860709	BP
-1471	0.00183927665519613	3	108	GO:0050680	negative regulation of epithelial cell proliferation	0.0294956146714557	BP
-848	0.00185381284007501	2	329	GO:0032102	negative regulation of response to external stimulus	0.0295083901391665	BP
3110	0.00185687762549994	2	24	GO:0045839;GO:0051784	negative regulation of nuclear division	0.0295083901391665	BP
-1113	0.00186643007933308	2	189	GO:0007264	small GTPase mediated signal transduction	0.0295265875613413	BP
-2691	0.00188148405845519	7	32	GO:0042532;GO:0060336;GO:0060331;GO:1902216;GO:1902214;GO:0070212	protein poly-ADP-ribosylation	0.0296312646336082	BP
-412	0.00195828301379532	4	1480	GO:0048585;GO:0009968;GO:0010648;GO:0023057	negative regulation of response to stimulus	0.030703080109148	BP
2206	0.00201929056536991	2	47	GO:0060294;GO:0030317;GO:0097722	cilium movement involved in cell motility	0.0315188820692405	BP
-2664	0.00208558268058003	4	32	GO:0016199;GO:0016198;GO:0035385	Roundabout signaling pathway	0.0324095857265357	BP
-770	0.00214040608467867	5	389	GO:0030198;GO:0043062;GO:0045229	external encapsulating structure organization	0.0331150051515044	BP
-4527	0.00215234640207227	3	11	GO:0036258;GO:0036257	multivesicular body organization	0.0331536866845518	BP
-3356	0.0021684962110085	2	20	GO:0097021;GO:0072676;GO:0007497	lymphocyte migration	0.0332407566990067	BP
4330	0.00217692882709896	2	12	GO:0071459	protein localization to chromosome, centromeric region	0.0332407566990067	BP
-1126	0.00224693634943806	2	178	GO:0032956;GO:0032970	regulation of actin filament-based process	0.0341612141092055	BP
3184	0.00228418107787476	2	22	GO:0000154	rRNA modification	0.0344583573682095	BP
-2561	0.00229174417209921	3	34	GO:0030837;GO:0032272	negative regulation of protein polymerization	0.0344583573682095	BP
-1603	0.00229591561052421	3	87	GO:0008038	neuron recognition	0.0344583573682095	BP
-1471	0.0023486181341755	3	103	GO:0007265	Ras protein signal transduction	0.0350993484562739	BP
3165	0.00242325223182212	2	22	GO:0036297	interstrand cross-link repair	0.0360612789752512	BP
-789	0.0024758791741246	6	360	GO:0051090	regulation of DNA-binding transcription factor activity	0.0365952794969467	BP
-2905	0.00248648914625376	3	26	GO:0090178	regulation of establishment of planar polarity involved in neural tube closure	0.0365952794969467	BP
-590	0.00249039629834005	2	654	GO:0032269;GO:0051248	negative regulation of protein metabolic process	0.0365952794969467	BP
1586	0.00256268285488247	6	87	GO:0006479;GO:0008213	protein methylation	0.0374182640754079	BP
-1595	0.00256771117373955	4	86	GO:2001238	positive regulation of extrinsic apoptotic signaling pathway	0.0374182640754079	BP
1740	0.00260143260712037	5	72	GO:0050684	regulation of mRNA processing	0.0377530219677964	BP
-649	0.00265460227298817	2	530	GO:0008283	cell population proliferation	0.0383661036326521	BP
-995	0.00267367792109039	2	221	GO:0002237;GO:0032496	response to molecule of bacterial origin	0.038483429749465	BP
-1433	0.00277094853434882	3	105	GO:0050773	regulation of dendrite development	0.039720698990339	BP
-448	0.00286128840129343	4	1138	GO:0035556	intracellular signal transduction	0.040753669637005	BP
3900	0.00286621765385542	5	14	GO:0000076	DNA replication checkpoint signaling	0.040753669637005	BP
3430	0.00295248360354934	5	18	GO:0009220;GO:0009218	pyrimidine ribonucleotide metabolic process	0.0418109774825213	BP
-1320	0.0029856885024474	3	122	GO:0110053	regulation of actin filament organization	0.0419453545635152	BP
-1442	0.00299496639759385	2	102	GO:1905477;GO:1905475	regulation of protein localization to membrane	0.0419453545635152	BP
3523	0.00299780295997788	2	17	GO:0000479;GO:0000478	endonucleolytic cleavage involved in rRNA processing	0.0419453545635152	BP
3422	0.00301521251001598	3	18	GO:0043486	histone exchange	0.0420215330760957	BP
-500	0.00306317467164109	2	884	GO:0016477;GO:0048870;GO:0040011	locomotion	0.0425212231098953	BP
3735	0.00311862818823937	8	15	GO:0006882;GO:0055069	zinc ion homeostasis	0.0431205598310892	BP
-1257	0.00316596305084484	3	133	GO:0051607;GO:0140546	defense response to virus	0.0436033813120278	BP
2229	0.00318795068605092	2	42	GO:0070286	axonemal dynein complex assembly	0.0437346984742611	BP
-940	0.00324076394143923	3	238	GO:0010720	positive regulation of cell development	0.0442862372075275	BP
3597	0.00328927972142641	3	16	GO:0033120	positive regulation of RNA splicing	0.0446905082309502	BP
-1815	0.00329579773115493	3	63	GO:0001947	heart looping	0.0446905082309502	BP
3211	0.00335262171289017	4	20	GO:0051568	histone H3-K4 methylation	0.0451441369304801	BP
-882	0.00336869196694273	3	269	GO:0050767	regulation of neurogenesis	0.0451441369304801	BP
2270	0.00337832149915395	2	40	GO:2000573	positive regulation of DNA biosynthetic process	0.0451441369304801	BP
-636	0.00339091442673712	3	524	GO:0051259	protein complex oligomerization	0.0451441369304801	BP
-1396	0.0033935228216534	2	106	GO:0033555	multicellular organismal response to stress	0.0451441369304801	BP
-577	0.00343196743983447	7	639	GO:0043066;GO:0043069;GO:0060548	negative regulation of cell death	0.0454832816932025	BP
